EB_EB_INdt;SM1;SM2;SM3;SM4;SM5
21.11.2016;0,428135719;0,534917791;0,419678146;0,534662692;0,520467128
22.11.2016;0,425392201;0,533475503;0,416201125;0,5264465;0,515557233
23.11.2016;0,424964444;0,532149721;0,414425572;0,523241777;0,51404338
24.11.2016;0,423051784;0,528844963;0,412012682;0,517076355;0,510877556
25.11.2016;0,421036449;0,525738384;0,410473461;0,513279554;0,508206369
26.11.2016;0,407660984;0,525699465;0,408250507;0,51096173;0,507177539
27.11.2016;0,402340035;0,523947129;0,410078598;0,527877;0,51572171
28.11.2016;0,399973854;0,52856011;0,40758436;0,519263252;0,513146926
29.11.2016;0,40324219;0,518792609;0,396082314;0,471065025;0,500192726
30.11.2016;0,405683061;0,503071342;0,383961639;0,430432433;0,487700281
01.12.2016;0,39586589;0,492798339;0,379635263;0,426121385;0,482378253
02.12.2016;0,39225031;0,484885888;0,37389497;0,420161579;0,478836369
03.12.2016;NA;0,387226188;0,353375258;NA;0,444900985
04.12.2016;NA;0,348242608;NA;NA;0,3874885
05.12.2016;NA;0,328157408;NA;NA;0,352140368
06.12.2016;NA;0,307904147;NA;NA;0,326640912
07.12.2016;NA;0,280339992;NA;NA;0,313611343
08.12.2016;NA;NA;NA;NA;0,302486911
09.12.2016;NA;NA;NA;NA;NA
10.12.2016;NA;NA;NA;NA;NA
11.12.2016;NA;NA;NA;NA;NA
12.12.2016;NA;NA;NA;NA;NA
13.12.2016;NA;NA;NA;NA;NA
14.12.2016;NA;NA;NA;NA;NA
15.12.2016;NA;NA;NA;NA;NA
16.12.2016;NA;NA;NA;NA;NA
17.12.2016;NA;NA;NA;NA;NA
18.12.2016;NA;NA;NA;NA;NA
19.12.2016;NA;NA;NA;NA;NA
20.12.2016;NA;NA;NA;NA;NA
21.12.2016;NA;NA;NA;NA;NA
22.12.2016;NA;NA;NA;NA;NA
23.12.2016;NA;NA;NA;NA;NA
24.12.2016;NA;NA;NA;NA;NA
25.12.2016;NA;NA;NA;NA;NA
26.12.2016;NA;NA;NA;NA;NA
27.12.2016;NA;NA;NA;NA;NA
28.12.2016;NA;NA;NA;NA;NA
29.12.2016;NA;NA;NA;NA;NA
30.12.2016;NA;NA;NA;NA;NA
31.12.2016;NA;NA;NA;NA;NA
01.01.2017;NA;NA;NA;NA;NA
02.01.2017;NA;NA;NA;NA;NA
03.01.2017;NA;NA;NA;NA;NA
04.01.2017;NA;NA;NA;NA;NA
05.01.2017;NA;NA;NA;NA;NA
06.01.2017;NA;NA;NA;NA;NA
07.01.2017;NA;NA;NA;NA;NA
08.01.2017;NA;NA;NA;NA;NA
09.01.2017;NA;NA;NA;NA;NA
10.01.2017;NA;NA;NA;NA;NA
11.01.2017;NA;NA;NA;NA;NA
12.01.2017;NA;NA;NA;NA;NA
13.01.2017;NA;NA;NA;NA;NA
14.01.2017;NA;NA;NA;NA;NA
15.01.2017;NA;NA;NA;NA;NA
16.01.2017;NA;NA;NA;NA;NA
17.01.2017;NA;NA;NA;NA;NA
18.01.2017;NA;NA;NA;NA;NA
19.01.2017;NA;NA;NA;NA;NA
