FE_GW_EXdt;SM1;SM2;SM3;SM4;SM5
09.12.2016;NA;0,456814294;NA;NA;0,483656656
10.12.2016;NA;0,452895106;NA;NA;0,479077794
11.12.2016;NA;0,443668614;NA;NA;0,474021929
12.12.2016;NA;0,438255393;NA;NA;0,463635829
13.12.2016;NA;0,443486263;NA;NA;0,47042505
14.12.2016;NA;0,449539487;NA;NA;0,47574194
15.12.2016;NA;0,451856333;NA;NA;0,479933858
16.12.2016;NA;0,451669728;NA;NA;0,482223068
17.12.2016;NA;0,453384648;NA;NA;0,489671794
18.12.2016;NA;0,455081802;NA;NA;0,490940638
19.12.2016;NA;0,461674545;NA;NA;0,502127583
20.12.2016;NA;0,468391089;NA;NA;0,508403753
21.12.2016;NA;0,470514076;NA;NA;0,509723777
22.12.2016;NA;0,46967024;NA;NA;0,508001944
23.12.2016;NA;0,472419454;NA;NA;0,511265721
24.12.2016;NA;0,483902803;NA;NA;0,519113388
25.12.2016;NA;0,486737906;NA;NA;0,517093586
26.12.2016;NA;0,486810327;NA;NA;0,514559287
27.12.2016;NA;0,487659179;NA;NA;0,515179818
28.12.2016;NA;0,481354554;NA;NA;0,509696723
29.12.2016;NA;0,466456151;NA;NA;0,497944919
30.12.2016;NA;0,45617061;NA;NA;0,486151143
31.12.2016;NA;0,449141748;NA;NA;0,48217881
01.01.2017;NA;0,43745022;NA;NA;0,482891815
02.01.2017;NA;0,422183073;NA;NA;0,476167867
03.01.2017;NA;0,418640145;NA;NA;0,468622687
04.01.2017;NA;0,421946525;NA;NA;0,470534894
05.01.2017;NA;0,424923766;NA;NA;0,471696414
06.01.2017;NA;0,428206849;NA;NA;0,473138312
07.01.2017;NA;0,428232476;NA;NA;0,474523579
08.01.2017;NA;0,427145727;NA;NA;0,473569829
09.01.2017;NA;0,42916304;NA;NA;0,471696254
10.01.2017;NA;0,431376724;NA;NA;0,471126765
11.01.2017;NA;0,434196025;NA;NA;0,470342619
12.01.2017;NA;0,466080944;NA;NA;0,53007288
13.01.2017;NA;0,505034351;NA;NA;0,532072209
14.01.2017;NA;0,501287406;NA;NA;0,523644514
15.01.2017;NA;0,491573939;NA;NA;0,522398273
16.01.2017;NA;0,479034962;NA;NA;0,521251956
17.01.2017;NA;0,478137093;NA;NA;0,520079769
18.01.2017;NA;0,477205429;NA;NA;0,517696119
19.01.2017;NA;0,473613119;NA;NA;0,515097378
20.01.2017;NA;0,467002491;NA;NA;0,50852218
21.01.2017;NA;NA;NA;NA;0,497229085
22.01.2017;NA;NA;NA;NA;0,488658323
23.01.2017;NA;NA;NA;NA;0,484812506
24.01.2017;NA;NA;NA;NA;0,481845035
25.01.2017;NA;NA;NA;NA;0,47763244
26.01.2017;NA;NA;NA;NA;0,475185435
27.01.2017;NA;NA;NA;NA;0,474927614
28.01.2017;NA;NA;NA;NA;0,466247028
29.01.2017;NA;NA;NA;NA;0,452174748
30.01.2017;NA;NA;NA;NA;0,444370008
31.01.2017;NA;NA;NA;NA;0,433349772
01.02.2017;NA;NA;NA;NA;0,504853967
02.02.2017;NA;NA;NA;NA;0,506590709
03.02.2017;NA;NA;NA;NA;0,509507316
04.02.2017;NA;NA;NA;NA;0,510203905
05.02.2017;NA;NA;NA;NA;0,510369817
06.02.2017;NA;NA;NA;NA;0,510531339
07.02.2017;NA;NA;NA;NA;0,515927249
08.02.2017;NA;NA;NA;NA;0,524518369
09.02.2017;NA;0,401397474;NA;NA;0,521045874
10.02.2017;NA;0,398248765;NA;NA;0,516401232
11.02.2017;NA;0,392469074;NA;NA;0,511856117
12.02.2017;NA;0,385926573;NA;NA;0,508599223
13.02.2017;NA;0,386932043;0,324079811;NA;0,508181956
14.02.2017;NA;0,390731205;0,326943581;NA;0,511644539
15.02.2017;NA;0,389025118;0,327157131;NA;0,508846369
16.02.2017;NA;0,389953415;0,327064199;0,228395884;0,50709862
17.02.2017;NA;0,478893513;0,337397416;0,253982964;0,527651319
18.02.2017;NA;0,512040558;0,338692433;0,318966171;0,537708553
19.02.2017;0,354356929;0,446437643;0,335851344;0,331079374;0,532976172
20.02.2017;0,355180106;0,422781568;0,335535485;0,328376648;0,530903659
21.02.2017;0,366268779;0,459022059;0,339434557;0,347038668;0,539743505
22.02.2017;0,369420729;0,450258517;0,341258001;0,346830861;0,544265771
23.02.2017;0,361231764;0,416541495;0,340336648;0,332622062;0,534324296
24.02.2017;0,378224854;0,480152669;0,359108953;0,373423099;0,544792946
25.02.2017;0,370930536;0,465217633;0,361891636;0,348342258;0,545376606
26.02.2017;0,36443553;0,42698348;0,357966826;0,336692101;0,537142788
27.02.2017;0,362358366;0,41728256;0,356586224;0,332088048;0,527457057
28.02.2017;0,426883116;0,460466664;0,431154667;0,404059774;0,539105528
01.03.2017;0,404761854;0,498728096;0,399425321;0,366313901;0,547868938
02.03.2017;0,390533525;0,45872252;0,394536326;0,351892143;0,547627391
03.03.2017;0,378713418;0,42265213;0,375158696;0,339219861;0,533069655
04.03.2017;0,376687522;0,417609936;0,369955121;0,337917755;0,528834676
05.03.2017;0,374230285;0,412710759;0,364637036;0,344814919;0,525150916
06.03.2017;0,380783219;0,431227355;0,379737521;0,402150029;0,532378436
07.03.2017;0,430822841;0,507283055;0,419816019;0,489146307;0,549890057
08.03.2017;0,406622696;0,496571439;0,402669552;0,447761241;0,55203992
09.03.2017;0,551178214;0,47320686;0,602338397;0,557339457;0,564618054
10.03.2017;0,447027714;0,478413049;0,439942965;0,467741818;0,559959165
11.03.2017;0,39563608;0,435706949;0,402737136;0,415532529;0,543249847
12.03.2017;0,387876454;0,423584171;0,391208971;0,402912391;0,533489117
13.03.2017;0,381637016;0,416607219;0,383610415;0,392453759;0,523656003
14.03.2017;0,378658423;0,411821286;0,3781221;0,388677341;0,519816559
15.03.2017;0,37466492;0,40782819;0,367571696;0,381472704;0,514426756
16.03.2017;0,370483079;0,404030451;0,343477957;0,372937248;0,508570577
17.03.2017;0,367261402;0,399488862;0,341851788;0,363245489;0,505530894
18.03.2017;0,376559159;0,415231651;0,357642591;0,384622858;0,515632348
19.03.2017;0,415092944;0,493069997;0,419227387;0,485473599;0,549221586
20.03.2017;0,394729191;0,432321355;0,393677465;0,417321964;0,5486459
21.03.2017;0,386317628;0,41949917;0,379284743;0,395220214;0,537230773
22.03.2017;0,393462601;0,436581989;0,397816418;0,414627093;0,544247871
23.03.2017;0,390049736;0,425193098;0,388604814;0,401539747;0,545859069
24.03.2017;0,385649335;0,416668487;0,377958286;0,388753116;0,535224868
25.03.2017;0,381242124;0,417755964;0,373450942;0,383704805;0,52817359
26.03.2017;0,375490402;0,412455691;0,366000217;0,377469946;0,520232647
27.03.2017;0,370348981;0,406467647;0,356771196;0,368879355;0,511546589
28.03.2017;0,365451174;0,399218371;0,348991479;0,358251934;0,504144032
29.03.2017;0,360140452;0,389790706;0,344861306;0,348128629;0,496655623
30.03.2017;0,353032389;0,381556498;0,340788377;0,3381852;0,489060748
31.03.2017;0,343882839;0,372072968;0,336529756;0,32531953;0,48030219
01.04.2017;0,335694204;0,363020213;0,332450018;0,311868622;0,470883865
02.04.2017;0,325553012;0,356975635;0,323894796;0,298052225;0,458985636
03.04.2017;0,320818867;0,353481962;0,314299508;0,290821367;0,448941975
04.04.2017;0,361257327;0,387102658;0,345002298;0,353533782;0,467704273
05.04.2017;0,37244187;0,414174645;0,350726738;0,36286102;0,507563301
06.04.2017;0,36520653;0,401768149;0,345666914;0,350783935;0,500039561
07.04.2017;0,357718061;0,39253301;0,342445999;0,350554238;0,487804529
08.04.2017;0,347929584;0,379378394;0,339191051;0,338331417;0,472691156
09.04.2017;0,337472553;0,368203257;0,335470559;0,322773525;0,460587041
10.04.2017;0,321300626;0,358043003;0,324546335;0,295428676;0,446520828
11.04.2017;0,308252435;0,351765961;0,308582567;0,274921755;0,436628543
12.04.2017;0,297072957;0,348875753;0,289685289;0,263654686;0,429379749
13.04.2017;0,280448715;0,342997252;0,268165278;0,245268372;0,418944367
14.04.2017;0,270269097;0,339820149;0,258573812;0,238499202;0,412762537
15.04.2017;0,264052519;0,336106405;0,247514545;0,23100885;0,405961862
16.04.2017;0,326119939;0,371500562;0,316547337;0,329856869;0,435516716
17.04.2017;0,374534309;0,470347396;0,350401681;0,385418508;0,530638763
18.04.2017;0,388003959;0,525328719;0,355304233;0,407873362;0,550063822
19.04.2017;0,390803497;0,524585814;0,358188799;0,406902164;0,552943949
20.04.2017;0,38835975;0,485799608;0,35475877;0,391497454;0,546810235
21.04.2017;0,391168854;0,43444488;0,348874053;0,370050775;0,53120099
22.04.2017;0,38736006;0,422843692;0,347972324;0,363029468;0,514353873
23.04.2017;0,399202769;0,439850149;0,355269188;0,385241206;0,538979311
24.04.2017;0,393671057;0,427326789;0,347279509;0,360569134;0,51830454
25.04.2017;0,414324645;0,45652368;0,353526164;0,378949739;0,512032068
26.04.2017;0,47183203;0,555806417;0,378046299;0,464567908;0,548596064
27.04.2017;0,5226218;0,561916917;0,378969153;0,46308299;0,552535218
28.04.2017;0,523856448;0,552345214;0,487762153;0,484475885;0,560025759
29.04.2017;0,469204273;0,562532902;0,396546601;0,43004832;0,554765286
30.04.2017;0,418835925;0,533867205;0,364616182;0,378034974;0,534829994
01.05.2017;0,49949789;0,548614129;0,415944229;0,440197222;0,535442226
02.05.2017;0,541088904;0,567223625;0,441756281;0,45748883;0,556341033
