GW_GW_INdt;SM1;SM2;SM3;SM4;SM5
22.02.2017;NA;NA;NA;NA;NA
23.02.2017;NA;NA;NA;NA;NA
24.02.2017;NA;NA;NA;NA;NA
25.02.2017;NA;NA;NA;NA;NA
26.02.2017;NA;NA;NA;NA;NA
27.02.2017;NA;NA;NA;NA;NA
28.02.2017;NA;NA;NA;NA;NA
01.03.2017;NA;NA;NA;NA;NA
02.03.2017;0,415782573;NA;0,259428404;NA;NA
03.03.2017;0,333993935;NA;0,215976477;0,399166572;0,25562586
04.03.2017;0,346210528;NA;0,226203332;0,425672144;0,256202134
05.03.2017;0,371596273;NA;0,214746317;0,465464808;0,262684207
06.03.2017;0,394079922;NA;0,203647038;0,477055234;0,274817755
07.03.2017;0,377233967;NA;0,196294744;0,478088253;0,291001566
08.03.2017;NA;NA;0,19258173;0,469492927;0,296134673
09.03.2017;0,385876704;NA;0,212423508;0,543892507;0,309081586
10.03.2017;0,358406378;0,351063406;0,207041137;0,484603327;0,319882171
11.03.2017;0,337238682;0,33992367;0,206268905;0,374533692;0,301299146
12.03.2017;0,333689502;0,31683099;0,202771044;0,3679924;0,286914768
13.03.2017;0,33127365;0,310325;0,21127807;0,355540817;0,286338737
14.03.2017;0,328236562;0,309228653;0,209155188;0,352817654;0,284802703
15.03.2017;0,324530316;0,305283929;0,207241962;0,344551203;0,281592492
16.03.2017;0,321429271;0,30254189;0,205242368;0,338066797;0,278990912
17.03.2017;0,316565404;0,301928195;0,203979338;0,337987016;0,278616673
18.03.2017;0,31907767;0,307277211;0,212109151;0,357436153;0,293102494
19.03.2017;0,322911744;0,321328389;0,224097475;0,373982981;0,314609856
20.03.2017;0,320821427;0,321722317;0,217996583;0,360656487;0,307906119
21.03.2017;0,317623553;0,31768128;0,21523262;0,355150292;0,303866781
22.03.2017;0,321001382;0,316536913;0,223553531;0,367182055;0,312276165
23.03.2017;0,321418589;0,32221958;0,221464453;0,361781488;0,309315428
24.03.2017;0,317796791;0,318643239;0,218831307;0,355405446;0,304904389
25.03.2017;0,315697897;0,315869214;0,215947474;0,350382834;0,301517307
26.03.2017;0,311684359;0,312951105;0,211909507;0,342948543;0,29769127
27.03.2017;0,308536026;0,309898137;0,210821158;0,334488196;0,293536017
28.03.2017;0,303614872;0,30649348;0,214209514;0,328472619;0,28957793
29.03.2017;0,298262064;0,302842877;0,218553312;0,320921685;0,285756384
30.03.2017;0,288599166;0,299028735;0,238573023;0,310653494;0,28168084
31.03.2017;0,26656022;0,293760639;0,241128042;0,292499792;0,275163259
01.04.2017;0,243281803;0,287863037;0,234379385;0,275069293;0,269277426
02.04.2017;0,226405914;0,283315267;0,23136137;0,261224083;0,264771018
03.04.2017;0,252337233;0,274011662;0,259532767;0,302876478;0,275361064
04.04.2017;0,314028502;0,30823856;0,303382788;0,37393552;0,310796669
05.04.2017;0,312720592;0,319273563;0,299559014;0,364876791;0,307827853
06.04.2017;0,316280537;0,320009753;0,302192011;0,372908137;0,312034943
07.04.2017;0,314267438;0,321954333;0,298214496;0,365164077;0,308520935
08.04.2017;0,307244701;0,315862664;0,290227504;0,35256799;0,301151724
09.04.2017;0,29137862;0,308966438;0,277982594;0,333746249;0,292879662
10.04.2017;0,267715666;0,301446674;0,259043515;0,307300853;0,28384078
11.04.2017;0,291925029;0,296227468;0,281295159;0,345671667;0,288859593
12.04.2017;0,276780876;0,301056384;0,262610853;0,324623838;0,285929121
13.04.2017;0,254212704;0,295229542;0,242954159;0,296397338;0,277452452
