FE_EB_INdt;SM1;SM2;SM3;SM4;SM5
22.04.2017;NA;0,397588165;0,412731505;0,330812622;0,427569787
23.04.2017;NA;0,403416937;0,434501431;0,361582149;0,447092891
24.04.2017;NA;0,393998679;0,4133757;0,332163041;0,428381621
25.04.2017;NA;0,403996509;0,421161541;0,336615942;0,430673178
26.04.2017;NA;0,517501037;0,484053926;0,399740073;0,477062363
27.04.2017;NA;0,501120722;0,485265445;0,395888537;0,47349216
28.04.2017;NA;0,489314611;0,486615894;0,393123594;0,472447711
29.04.2017;NA;0,45687419;0,471481816;0,378893443;0,458425173
30.04.2017;NA;0,414821439;0,445721279;0,348816474;0,438399327
01.05.2017;NA;0,465009026;0,466433638;0,376719972;0,465717829
02.05.2017;NA;0,474104095;0,484813505;0,389983401;0,466786461
03.05.2017;NA;0,423504596;0,471335017;0,379103708;0,451473514
04.05.2017;NA;0,47839158;0,498987273;0,408402454;0,47238154
05.05.2017;NA;0,427969311;0,48284173;0,390977771;0,454475914
06.05.2017;NA;0,420682859;0,455052234;0,366741936;0,437600696
07.05.2017;NA;0,42799957;0,489635727;0,404592261;0,463899575
08.05.2017;NA;0,673480304;0,521665445;0,438455377;0,486627474
09.05.2017;NA;0,463029508;0,502858614;0,407216173;0,463155105
10.05.2017;NA;0,426547983;0,467091154;0,373012242;0,443724987
11.05.2017;NA;0,417810017;0,42656489;0,331615829;0,426035377
12.05.2017;NA;0,450167722;0,44581148;0,344144851;0,434253978
13.05.2017;NA;0,428662431;0,486293537;0,383045685;0,444885759
14.05.2017;NA;0,428660301;0,505505411;0,405475454;0,450647139
15.05.2017;NA;0,499628298;0,542335389;0,451348837;0,48719251
16.05.2017;NA;0,42826552;0,499451808;0,399849247;0,450999685
17.05.2017;NA;0,417666808;0,444994664;0,337119044;0,425113948
18.05.2017;NA;0,407651941;0,394950656;0,277334983;0,401974759
19.05.2017;NA;0,401517495;0,382294378;0,259762194;0,385391424
20.05.2017;NA;0,401671469;0,414584934;0,302806763;0,376627038
21.05.2017;NA;0,398873148;0,412880918;0,310760105;0,368137924
22.05.2017;NA;0,388178844;0,376509591;0,237044023;0,352295381
23.05.2017;NA;0,381854275;0,347459919;0,200667317;0,342054714
24.05.2017;NA;0,380221765;0,343276419;0,208818533;0,341162863
25.05.2017;NA;0,380177592;0,412240798;0,305052028;0,346518453
26.05.2017;NA;0,380131925;0,374004152;0,261836915;0,343977979
27.05.2017;NA;0,377903702;0,336529739;0,224491563;0,338961463
28.05.2017;NA;0,374000073;0,29966986;0,202869294;0,331765427
29.05.2017;NA;0,369072088;0,266070864;0,186429571;0,323651224
30.05.2017;NA;0,363409229;0,240991357;0,175528518;0,31678165
31.05.2017;NA;0,363379417;0,320980925;0,183291844;0,31911325
01.06.2017;NA;0,36390914;0,310779307;0,183506996;0,321182436
02.06.2017;NA;0,361369455;0,288063904;0,179699153;0,318455168
03.06.2017;NA;0,359314272;0,262726978;0,176515636;0,313121814
04.06.2017;NA;0,365703931;0,375283317;0,254429905;0,31866308
05.06.2017;NA;0,393652949;0,41593698;0,306722969;0,347320934
06.06.2017;NA;0,487688334;0,442630718;0,345526234;0,424962233
07.06.2017;NA;0,415604738;0,414172002;0,317638051;0,413090162
08.06.2017;NA;0,405320352;0,381049904;0,27723077;0,388560492
09.06.2017;NA;0,399995673;0,345834376;0,240070695;0,370967637
10.06.2017;NA;0,3956547;0,320810714;0,226194038;0,35822792
11.06.2017;NA;0,389553661;0,285189558;0,205471203;0,343041282
12.06.2017;NA;0,384828851;0,294489088;0,223703753;0,333000526
13.06.2017;NA;0,383461851;0,344501498;0,273855359;0,332733115
14.06.2017;NA;0,380113307;0,297286432;0,228512362;0,333833761
15.06.2017;NA;0,374402211;0,2650552;0,203665908;0,332925846
16.06.2017;NA;0,373368054;0,324087361;0,26608948;0,337275546
17.06.2017;NA;0,371276416;0,29788025;0,232654215;0,332681356
18.06.2017;NA;0,366680966;0,261459828;0,196758368;0,323892989
19.06.2017;NA;0,36042808;0,235537335;0,176334745;0,311150959
20.06.2017;NA;0,352734873;0,216404799;0,165369306;0,296610612
21.06.2017;NA;0,343919779;0,206671456;0,159190987;0,281279872
22.06.2017;NA;0,334123682;0,198623461;0,153711923;0,264961514
23.06.2017;NA;0,320621834;0,189720357;0,144863955;0,24756864
24.06.2017;NA;0,312979922;0,18390862;0,140003931;0,236346369
25.06.2017;NA;0,304737411;0,194093195;0,180693277;0,258831352
26.06.2017;NA;0,302771743;0,205571422;0,186020658;0,248681431
27.06.2017;NA;0,299258271;0,263103167;0,263058727;0,325489949
28.06.2017;NA;0,298086629;0,265242513;0,249438041;0,299363938
29.06.2017;NA;0,330905806;0,312435697;0,317254448;0,3743513
30.06.2017;NA;0,396572719;0,277370718;0,283861478;0,373603146
01.07.2017;NA;0,388924429;0,263451535;0,242076216;0,349693539
02.07.2017;NA;0,38141087;0,264287741;0,24778542;0,335267267
03.07.2017;NA;0,388206085;0,292242666;0,295078464;0,347393698
04.07.2017;NA;0,382085317;0,2717439;0,235800521;0,331967907
05.07.2017;NA;0,371986694;0,255464624;0,199681039;0,312337875
06.07.2017;NA;0,367856933;0,245717563;0,183578803;0,30074331
07.07.2017;NA;0,376907784;0,249895349;0,183462257;0,297213905
08.07.2017;NA;0,425938088;0,317342325;0,250823267;0,365210318
09.07.2017;NA;0,412969163;0,316893083;0,242615237;0,357462074
10.07.2017;NA;0,418374297;0,319136441;0,251867725;0,3527488
11.07.2017;NA;0,425797035;0,308990867;0,241667503;0,347754375
12.07.2017;NA;0,417518614;0,302320212;0,236827247;0,339844087
13.07.2017;NA;0,406502594;0,287836774;0,224653358;0,330286938
14.07.2017;NA;0,40118586;0,295093311;0,230778435;0,323559813
15.07.2017;NA;0,401258902;0,309166713;0,259873556;0,319915933
16.07.2017;NA;0,395571308;0,282892187;0,23149372;0,313282496
17.07.2017;NA;0,386994509;0,258234191;0,206067595;0,302340419
18.07.2017;NA;0,378005967;0,240306099;0,181734472;0,285252139
