FE_EB_EXdt;SM1;SM2;SM3;SM4;SM5
14.12.2016;NA;0,598897876;NA;0,370803247;0,482171104
15.12.2016;NA;0,603943077;NA;0,357584149;0,483690365
16.12.2016;NA;0,607261534;NA;0,370729816;0,485608119
17.12.2016;NA;0,608572409;NA;0,372501602;0,487218171
18.12.2016;NA;0,611336103;NA;0,382160322;0,490511405
19.12.2016;0,342413399;0,615918334;0,455198915;0,395907018;0,49939563
20.12.2016;0,34102859;0,617572658;0,460016224;0,397671578;0,501969423
21.12.2016;0,33968798;0,618534854;0,463405278;0,391773489;0,499980694
22.12.2016;0,338683496;0,618166452;0,460777366;0,387081943;0,498001475
23.12.2016;0,35122047;0,613476889;0,479212117;0,398591161;0,501747153
24.12.2016;0,363938785;0,620591837;0,509287662;0,403038173;0,505922475
25.12.2016;0,360784393;0,622675787;0,495229346;0,394319143;0,502995185
26.12.2016;0,351693679;0,622490286;0,479684041;0,386813735;0,500352758
27.12.2016;0,349424426;0,62363894;0,480748837;0,38795044;0,503059152
28.12.2016;NA;0,616054714;0,470263198;0,37747206;0,498857392
29.12.2016;NA;0,601766859;NA;NA;0,483427688
30.12.2016;NA;0,591627086;NA;NA;0,470618605
31.12.2016;NA;0,583824449;NA;NA;0,459017157
01.01.2017;NA;0,565729919;NA;NA;0,470266299
02.01.2017;NA;0,514097967;NA;NA;0,445721367
03.01.2017;NA;0,496098642;NA;NA;0,438609693
04.01.2017;NA;0,497990059;NA;NA;0,453182254
05.01.2017;NA;0,500511211;NA;NA;0,45928485
06.01.2017;NA;0,504550286;NA;NA;0,463518887
07.01.2017;NA;0,50602239;NA;NA;0,474869515
08.01.2017;NA;0,505135656;NA;NA;0,479787133
09.01.2017;NA;0,504775728;NA;NA;0,482024156
10.01.2017;NA;0,506175006;NA;NA;0,485469612
11.01.2017;NA;0,509029697;NA;NA;0,489081368
12.01.2017;NA;0,573223113;NA;NA;0,526671105
13.01.2017;NA;0,639701408;NA;NA;0,552171147
14.01.2017;NA;0,588180993;NA;NA;0,547267251
15.01.2017;NA;0,573886604;NA;NA;0,545018816
16.01.2017;NA;0,569949403;NA;NA;0,543204738
17.01.2017;NA;0,565920941;NA;NA;0,542223914
18.01.2017;NA;0,563921574;NA;NA;0,54194208
19.01.2017;NA;0,56194839;NA;NA;0,540620838
20.01.2017;NA;0,560631536;NA;NA;0,531364976
21.01.2017;NA;0,551425858;NA;NA;0,515157236
22.01.2017;NA;0,512725905;NA;NA;0,483518287
23.01.2017;NA;0,464117528;NA;NA;0,44080815
24.01.2017;NA;0,424091903;NA;NA;0,416103055
25.01.2017;NA;0,401483522;NA;NA;0,398330316
26.01.2017;NA;0,38615206;NA;NA;0,38281404
27.01.2017;NA;0,369742473;NA;NA;0,366694335
28.01.2017;NA;0,350659379;NA;NA;0,350028348
29.01.2017;NA;NA;NA;NA;0,333220227
30.01.2017;NA;NA;NA;NA;0,319677856
31.01.2017;NA;0,736345068;NA;NA;0,482384714
01.02.2017;NA;0,364106049;NA;NA;0,37345512
02.02.2017;NA;0,362068698;NA;NA;0,368927738
03.02.2017;NA;0,359072944;NA;0,245276192;0,367695853
04.02.2017;NA;0,360286288;NA;0,306159764;0,367457894
05.02.2017;NA;0,35994371;NA;0,326817585;0,367161875
06.02.2017;NA;0,359419955;0,29717349;0,350270066;0,367973363
07.02.2017;NA;0,363418799;0,332188374;0,379603677;0,376913131
08.02.2017;NA;0,365844642;0,371768557;0,37003844;0,382664493
09.02.2017;NA;0,360745247;0,360714575;0,350125115;0,387108101
10.02.2017;NA;0,35827494;0,35279416;0,339386508;0,389953039
11.02.2017;NA;0,35675059;0,350601039;0,33640722;0,389994919
12.02.2017;NA;0,354537102;0,323845569;0,32436805;0,387370055
13.02.2017;NA;0,354735723;0,322552771;0,32579219;0,387490534
14.02.2017;NA;0,35662763;0,316107154;0,333689675;0,391214018
15.02.2017;NA;0,356718697;0,262056394;0,334817996;0,398237854
16.02.2017;NA;0,357296759;0,260229237;0,335944137;0,395550746
17.02.2017;NA;0,505896638;0,285875191;0,362229611;0,442097362
18.02.2017;NA;0,412450355;0,346067094;0,356035701;0,407034228
19.02.2017;NA;0,370352806;0,36301942;0,342271426;0,396763447
20.02.2017;NA;0,366167721;0,359779922;0,334805785;0,392662564
21.02.2017;NA;0,380385285;0,368596789;0,358881626;0,415117313
22.02.2017;NA;0,38339617;0,369300375;0,362807893;0,401368483
23.02.2017;NA;0,38699101;0,363925016;0,349223554;0,39290887
24.02.2017;NA;0,420915624;0,38494818;0,390633512;0,424047255
25.02.2017;NA;0,397519067;0,380732976;0,384579543;0,401937487
26.02.2017;NA;0,392307859;0,378223717;0,376719595;0,397497729
27.02.2017;NA;0,389215844;0,377419256;0,370500578;0,394848598
28.02.2017;NA;0,492409913;0,39558099;0,402735916;0,445282246
01.03.2017;NA;0,399219809;0,395078414;0,395681271;0,405834432
02.03.2017;NA;0,39345298;0,396169941;0,394989635;0,407309831
03.03.2017;NA;0,388495716;0,389540678;0,383471925;0,397185417
04.03.2017;NA;0,3863667;0,39103194;0,379729882;0,394882632
05.03.2017;NA;0,38402767;0,410845827;0,374706117;0,392319648
06.03.2017;NA;0,392482089;0,468413905;0,397049457;0,409390493
07.03.2017;NA;0,472263768;0,497931775;0,415803902;0,426234606
08.03.2017;NA;0,401192792;0,500690037;0,407979159;0,412331346
09.03.2017;NA;0,573559891;0,551652303;0,442431423;0,537198867
10.03.2017;NA;0,438366805;0,519049497;0,413850458;0,413095955
11.03.2017;NA;0,394386303;0,500437617;0,394171508;0,400915051
12.03.2017;NA;0,390327958;0,489251391;0,385070201;0,396228584
13.03.2017;NA;0,387625775;0,479463135;0,376053485;0,391993783
14.03.2017;NA;0,385322856;0,470169719;0,370866457;0,389185008
15.03.2017;NA;0,382607447;0,458019216;0,363186695;0,385794925
16.03.2017;-0,049013473;0,380269493;0,445179471;0,358741495;0,382406298
17.03.2017;0,216969206;0,444602428;0,396616467;0,342224123;0,455328079
18.03.2017;0,423482831;0,490907287;0,394327467;0,356697544;0,518498406
19.03.2017;0,478190998;0,5405507;0,449545314;0,382257526;0,561909324
20.03.2017;0,445048983;0,512755435;0,425187858;0,3660951;0,546474423
21.03.2017;0,426231603;0,505021285;0,412103399;0,358038606;0,536802182
22.03.2017;0,455655375;0,510917238;0,435968687;0,375760798;0,556649358
23.03.2017;0,447600093;0,527655261;0,430026885;0,371601342;0,560712429
24.03.2017;0,431866061;0,547143356;0,418690984;0,359863145;0,547833703
25.03.2017;0,427116958;0,543988038;0,414244659;0,354540581;0,54118023
26.03.2017;0,41760601;0,538753597;0,405498887;0,34870978;0,530864211
27.03.2017;0,403108938;0,532051406;0,390596309;0,343046558;0,520489709
28.03.2017;0,374265379;0,523141749;0,373042281;0,329720455;0,510178458
29.03.2017;0,346628403;0,512217008;0,349856404;0,313986853;0,500756017
30.03.2017;0,328920089;0,500497992;0,331798086;0,295062958;0,490804996
31.03.2017;0,311809161;0,505746259;0,317136781;0,269244175;0,481459174
01.04.2017;0,293985946;0,497971271;0,304238014;0,244596045;0,471972116
02.04.2017;0,27556302;0,48712044;0,290549605;0,224157242;0,458882044
03.04.2017;0,271937019;0,471274817;0,287090271;0,222675297;0,448480274
04.04.2017;0,383160082;0,478244185;0,352765125;0,32544182;0,452548218
05.04.2017;0,412795751;0,533244088;0,376158538;0,346973781;0,464400289
06.04.2017;0,386833786;0,534359387;0,365659624;0,338457051;0,468492308
07.04.2017;0,367010138;0,52340384;0,353145257;0,321640964;0,468200406
