GW_EB_INdt;SM1;SM2;SM3;SM4;SM5
29.05.2017;0,09975347;0,176111996;0,153270683;0,188702177;0,230069808
30.05.2017;0,096722594;0,170950243;0,146713104;0,177738144;0,211568519
31.05.2017;0,224605104;0,240980045;0,285252481;0,297060759;0,338616875
01.06.2017;0,249057269;0,292510061;0,304013085;0,321942653;0,36109735
02.06.2017;0,261850216;0,306293399;0,316084107;0,33196939;0,364023912
03.06.2017;0,260399316;0,296382665;0,316848623;0,324213196;0,365311098
04.06.2017;0,27177186;0,313250958;0,329872286;0,341226958;0,39893358
05.06.2017;0,267817097;0,309354212;0,327368602;0,335630348;0,430460322
06.06.2017;0,27761405;0,323848226;0,336637576;0,348937691;0,472492708
07.06.2017;0,261600445;0,302015366;0,32731133;0,329741709;0,459160016
08.06.2017;0,241891244;0,28278745;0,311312726;0,304491079;0,442240603
09.06.2017;0,218746899;0,269994209;0,287474926;0,276053296;0,420486347
10.06.2017;0,226105126;0,268008099;0,302446171;0,308039659;0,41800285
11.06.2017;0,199068781;0,254141391;0,258023271;0,269651545;0,402004266
12.06.2017;0,169018149;0,233629922;0,220737103;0,238464437;0,382616069
13.06.2017;0,150124729;0,216886296;0,194577264;0,213704069;0,356593555
14.06.2017;0,132935146;0,201251323;0,169549241;0,192612721;0,317366637
15.06.2017;0,127047638;0,195298733;0,159089965;0,184138467;0,281373381
16.06.2017;0,20384517;0,193463662;0,265024516;0,28128467;0,338963877
17.06.2017;0,197632929;0,192143359;0,255708711;0,270289757;0,361919383
18.06.2017;0,167250711;0,190925565;0,210827789;0,24439417;0,336158298
19.06.2017;0,143912511;0,18759258;0,176441701;0,211399428;0,315823902
20.06.2017;0,129754178;0,183598211;0,160120267;0,195062795;0,285055011
21.06.2017;0,118500612;0,179803535;0,150184978;0,184330455;0,256702234
22.06.2017;0,108669027;0,172788328;0,140185933;0,176477119;0,231972378
23.06.2017;0,100548436;0,165189048;0,131146859;0,168944125;0,211045399
24.06.2017;0,09605404;0,15712566;0,124850005;0,164342585;0,199549502
25.06.2017;0,158419241;0,15549166;0,202654753;0,230809664;0,198371116
26.06.2017;0,187129924;0,164557724;0,221084275;0,254695142;0,220689138
27.06.2017;0,230452833;0,2633132;0,278520773;0,310049405;0,323554966
28.06.2017;0,219778639;0,254601421;0,269491904;0,302417025;0,326289764
29.06.2017;0,244218435;0,283654668;0,300761497;0,344563307;0,351638097
30.06.2017;0,246588859;0,2866068;0,301860272;0,339665796;0,357775519
01.07.2017;0,23997665;0,279158076;0,303175611;0,334309945;0,353289601
02.07.2017;0,238808839;0,282935889;0,304855864;0,336747705;0,353265973
03.07.2017;0,255018561;0,291998397;0,312221322;0,348369024;0,363744714
