FE_GW_INdt;SM1;SM2;SM3;SM4;SM5
21.12.2016;NA;0,507061852;NA;NA;0,534372894
22.12.2016;NA;0,50667959;NA;NA;0,544196936
23.12.2016;NA;0,513242157;NA;NA;0,538646219
24.12.2016;NA;0,53295321;NA;NA;0,548008734
25.12.2016;NA;0,547283789;NA;NA;0,547617094
26.12.2016;NA;0,537807249;NA;NA;0,541182278
27.12.2016;NA;0,534283193;NA;NA;0,539281571
28.12.2016;NA;0,523865056;NA;NA;0,541996759
29.12.2016;NA;0,509078201;NA;NA;0,539043483
30.12.2016;NA;0,502265226;NA;NA;0,533423946
31.12.2016;NA;0,497862069;NA;NA;0,52840257
01.01.2017;NA;0,492708365;NA;NA;0,5203284
02.01.2017;NA;0,479750031;NA;NA;0,50635813
03.01.2017;NA;0,475903525;NA;NA;0,492702924
04.01.2017;NA;0,478959034;NA;NA;0,493684058
05.01.2017;NA;0,482080626;NA;NA;0,495435559
06.01.2017;NA;0,485335248;NA;NA;0,499006224
07.01.2017;NA;0,485539304;NA;NA;0,501220902
08.01.2017;NA;0,483645743;NA;NA;0,501856115
09.01.2017;NA;0,48402198;NA;NA;0,503553995
10.01.2017;NA;0,485911645;NA;NA;0,506224167
11.01.2017;NA;0,489297784;NA;NA;0,506259368
12.01.2017;NA;0,536501587;NA;NA;0,524878864
13.01.2017;NA;0,563980059;NA;NA;0,528851803
14.01.2017;NA;0,546689534;NA;NA;0,564450122
15.01.2017;NA;0,535795304;NA;NA;0,566148895
16.01.2017;NA;0,529975336;NA;NA;0,55789225
17.01.2017;NA;0,524123593;NA;NA;0,557477181
18.01.2017;NA;0,519794548;NA;NA;0,554347139
19.01.2017;NA;0,515503333;NA;NA;0,55277456
20.01.2017;NA;0,509465014;NA;NA;0,550040679
21.01.2017;NA;0,502398281;NA;NA;0,542996963
22.01.2017;NA;0,496593409;NA;NA;0,534524083
23.01.2017;NA;0,490816037;NA;NA;0,526679361
24.01.2017;NA;0,482851506;NA;NA;0,517568547
25.01.2017;NA;0,475979028;NA;NA;0,508979424
26.01.2017;NA;0,470794128;NA;NA;0,503216297
27.01.2017;NA;0,465870292;NA;NA;0,499805057
28.01.2017;NA;NA;NA;NA;0,492840204
29.01.2017;NA;NA;NA;NA;0,485115795
30.01.2017;NA;NA;NA;NA;0,479302298
31.01.2017;NA;NA;NA;NA;0,536057563
01.02.2017;NA;NA;NA;NA;0,522490217
02.02.2017;NA;0,445104349;NA;NA;0,554836564
03.02.2017;NA;0,516026431;NA;NA;0,556254678
04.02.2017;NA;0,520865806;NA;NA;0,552135524
05.02.2017;NA;0,524104781;NA;NA;0,555744424
06.02.2017;NA;0,526010046;NA;NA;0,556405956
07.02.2017;NA;0,527958628;NA;NA;0,551578636
08.02.2017;NA;0,535890446;NA;NA;0,55546919
09.02.2017;NA;0,53520596;NA;NA;0,554498291
10.02.2017;NA;0,527764946;NA;NA;0,555162359
11.02.2017;NA;0,514621408;NA;NA;0,546915047
12.02.2017;NA;0,503561845;NA;NA;0,541131105
13.02.2017;NA;0,503043122;NA;NA;0,538440781
14.02.2017;NA;0,509347733;NA;0,339269757;0,537460785
15.02.2017;NA;0,51010459;0,29091276;0,340853284;0,531375584
16.02.2017;NA;0,510416786;0,290262743;0,341094651;0,523569605
17.02.2017;NA;0,559052142;0,342917441;0,386198922;0,503037931
18.02.2017;0,326599325;0,56964923;0,340719871;0,374832339;0,517205664
19.02.2017;0,343074138;0,554679368;0,323892486;0,360858169;0,529888098
20.02.2017;0,341983692;0,5420534;0,316097242;0,354723895;0,524239418
21.02.2017;0,354157856;0,548604632;0,334287627;0,370760602;0,51333403
22.02.2017;0,355794622;0,557156347;0,333828795;0,36824682;0,526925656
23.02.2017;0,343035014;0,532667166;0,320421857;0,358609533;0,524639496
24.02.2017;0,365302538;0,563980245;0,345079085;0,380903824;0,498773913
25.02.2017;0,355970298;0,56570944;0,332638597;0,369632249;0,527265405
26.02.2017;0,347082618;0,539290909;0,324172631;0,362895528;0,529042287
27.02.2017;0,339739922;0,526298339;0,319571552;0,35838629;0,528016287
28.02.2017;0,36725728;0,555699919;0,350224491;0,387688404;0,514917533
01.03.2017;0,371365111;0,565528163;0,342724856;0,376035454;0,533417099
02.03.2017;0,361711721;0,560572265;0,337271109;0,374212791;0,535873501
03.03.2017;0,346303376;0,530828473;0,325462561;0,365515474;0,565499461
04.03.2017;0,341384154;0,522244926;0,322311608;0,36130805;0,570556286
05.03.2017;0,336664638;0,513004961;0,319405522;0,357464799;0,561251764
06.03.2017;0,348148758;0,527195447;0,330852226;0,371140543;0,558925219
07.03.2017;0,382709172;0,574733719;0,355154728;0,384425603;0,546668747
08.03.2017;0,374658858;0,572406177;0,344518762;0,376163016;0,558000544
09.03.2017;0,437567402;0,611656568;0,462910127;0,404721956;0,57077702
10.03.2017;0,420698435;0,595489372;0,360715467;0,378373916;0,563521894
11.03.2017;0,385372663;0,552393251;0,339796793;0,368849396;0,57650473
12.03.2017;0,370213816;0,529434473;0,33393718;0,362810585;0,566703669
13.03.2017;0,359422529;0,515064241;0,326804884;0,35757773;0,564934368
14.03.2017;0,354280547;0,510098173;0,321483801;0,353172886;0,563148776
15.03.2017;0,348558896;0,504523662;0,315527168;0,349179232;0,55066811
16.03.2017;0,34236054;0,498711635;0,312229538;0,342336523;0,539404711
17.03.2017;0,336023244;0,491451217;0,306600282;0,334140928;0,532755555
18.03.2017;0,35591148;0,503752792;0,324036377;0,356431374;0,519424091
19.03.2017;0,415781834;0,571821752;0,375460701;0,387494528;0,536706613
20.03.2017;0,39522543;0,55791648;0,368849089;0,368435231;0,541592867
21.03.2017;0,378426796;0,528806133;0,383019635;0,378616906;0,536924202
22.03.2017;0,395742936;0,55140395;0,406608985;0,434239943;0,528511716
23.03.2017;0,391217621;0,551301391;0,397533517;0,437336325;0,548167785
24.03.2017;0,378037666;0,525405376;0,386267364;0,427638329;0,539160193
25.03.2017;0,369552527;0,517596374;0,380048715;0,421340717;0,534431977
26.03.2017;0,35898725;0,508235738;0,370888666;0,414287051;0,529907803
27.03.2017;0,347556176;0,498467213;0,360054612;0,403317647;0,515161022
28.03.2017;0,33530885;0,487699531;0,34792897;0,37992492;0,51372014
29.03.2017;0,321675852;0,476117821;0,335253418;0,366168782;0,504361535
30.03.2017;0,306188766;0,464654761;0,320901663;0,351227141;0,488165761
31.03.2017;0,2885681;0,454755048;0,30554945;0,333089083;0,473752495
01.04.2017;0,265658199;0,445838175;0,289761115;0,316720306;0,46284406
02.04.2017;0,236719822;0,437540987;0,269784053;0,301885378;0,456139173
03.04.2017;0,228879345;0,428747393;0,258983273;0,288502297;0,44564671
04.04.2017;0,326408409;0,437619736;0,340809623;0,358767598;0,429246294
05.04.2017;0,353390774;0,475673542;0,35846355;0,411696228;0,460660556
06.04.2017;0,334686722;0,463816654;0,347833185;0,400330457;0,468783183
07.04.2017;0,317807586;0,450503357;0,334962236;0,391407831;0,464391042
08.04.2017;0,297429359;0,43680507;0,316789431;0,376353727;0,456783741
09.04.2017;0,271870156;0,424338972;0,295670152;0,353667678;0,452108021
10.04.2017;0,232597394;0,407653404;0,269093523;0,328831739;0,447060605
11.04.2017;0,209244232;0,393392589;0,248779382;0,312537473;0,437864714
12.04.2017;0,198151365;0,38506863;0,234343442;0,30091616;0,429564754
13.04.2017;0,183593858;0,369115211;0,217722248;0,283646274;0,418654441
14.04.2017;0,177059852;0,359100792;0,20926616;0,273706321;0,409072612
15.04.2017;0,170835815;0,347209763;0,201637467;0,260252884;0,39688751
16.04.2017;0,282475813;0,36777211;0,305276711;0,353700154;0,402882815
17.04.2017;0,360873871;0,50824685;0,390711149;0,445131364;0,502592793
18.04.2017;0,386387636;0,581352041;0,416530579;0,461351139;0,522143438
19.04.2017;0,38964012;0,589395773;0,416577502;0,464577712;0,525868325
20.04.2017;0,379613725;0,576059911;0,401167107;0,456807967;0,531862812
21.04.2017;0,360924175;0,529092992;0,384092037;0,43991322;0,514473173
22.04.2017;0,34996442;0,509474306;0,380809752;0,433006353;0,497336388
23.04.2017;0,370543297;0,541483149;0,418543481;0,456298728;0,514810858
24.04.2017;0,347459931;0,508265057;0,396641589;0,43350078;0,498951262
25.04.2017;0,35012723;0,505124669;0,407091452;0,438748105;0,493637745
26.04.2017;0,413206928;0,592128288;0,46214453;0,490205518;0,54294917
27.04.2017;0,430060723;0,610382493;0,462835883;0,48836859;0,541664534
28.04.2017;0,425400162;0,610619105;0,49167402;0,488980622;0,553269897
29.04.2017;0,415184063;0,604393509;0,462807763;0,479755177;0,528300923
30.04.2017;0,378542911;0,550107077;0,428076224;0,46143342;0,509687216
01.05.2017;0,39491829;0,547490691;0,479860713;0,494017502;0,528685657
02.05.2017;0,425587678;0,582996227;0,49995716;0,513320263;0,539158658
03.05.2017;0,384963208;0,556812386;0,475959239;0,493366944;0,521500456
04.05.2017;0,414494221;0,580905555;0,542829653;0,519522455;0,550084262
05.05.2017;0,405969714;0,576295893;0,502446113;0,501032865;0,53873601
06.05.2017;0,372344297;0,53618031;0,482862213;0,48860978;0,520612366
07.05.2017;0,391625384;0,573846836;0,504482613;0,506110356;0,538121085
08.05.2017;0,443806245;0,611075216;0,592689146;0,538433879;0,575491248
09.05.2017;0,430079145;0,594063213;0,529578488;0,514277182;0,552264044
10.05.2017;0,388960417;0,552579232;0,491818404;0,49475674;0,532392863
11.05.2017;0,358179502;0,513580339;0,468980263;0,476611129;0,509529567
12.05.2017;0,377840553;0,524144823;0,509566216;0,498661878;0,519288529
13.05.2017;0,402877442;0,557806792;0,510042376;0,503837437;0,534492622
14.05.2017;0,401458723;0,559431904;0,519067965;0,513161989;0,545668073
15.05.2017;0,492351393;0,595869308;0,581862522;0,556361282;0,579033625
16.05.2017;0,432282772;0,565987447;0,509332028;0,513647013;0,555500017
17.05.2017;0,373322111;0,518232283;0,47370045;0,484940973;0,521953335
18.05.2017;0,337857115;0,488637714;0,442289073;0,460934349;0,488275081
19.05.2017;0,3219064;0,472400503;0,429569002;0,450114307;0,471135239
20.05.2017;0,335518658;0,465904304;0,442906331;0,46066708;0,47063742
21.05.2017;0,331298038;0,458563336;0,43472228;0,451683577;0,464798042
22.05.2017;0,316370599;0,449158222;0,398377279;0,42186329;0,447947591
23.05.2017;0,308455059;0,447200143;0,368215297;0,396706471;0,427714502
24.05.2017;0,310373655;0,445163634;0,368463271;0,394220372;0,420341488
25.05.2017;0,360503411;0,461946371;0,431510742;0,464829957;0,429120627
26.05.2017;0,337829939;0,469157826;0,396043191;0,419697483;0,424506083
27.05.2017;0,315112081;0,461910289;0,366260506;0,38456716;0,414886278
28.05.2017;0,287337283;0,453831385;0,338460154;0,354837931;0,404212565
29.05.2017;0,248642009;0,437966858;0,303003729;0,321961673;0,393236281
30.05.2017;0,218883569;0,416865724;0,266961637;0,293716479;0,382473581
31.05.2017;0,295508398;0,496407168;0,365179525;0,384655773;0,433885827
01.06.2017;0,303201205;0,470874828;0,346990154;0,368204929;0,415316535
02.06.2017;0,29107205;0,4448426;0,32400145;0,347131518;0,402197566
03.06.2017;0,257424498;0,425375267;0,300598172;0,32642574;0,391215957
04.06.2017;0,334995466;0,52070148;0,403153017;0,436108101;0,451995163
05.06.2017;0,371471422;0,57626548;0,426222584;0,461987871;0,499299299
06.06.2017;0,402671883;0,624118456;0,493237212;0,490979683;0,545597698
07.06.2017;0,38517458;0,595072552;0,444230379;0,455894841;0,506841487
08.06.2017;0,353567747;0,545827107;0,404942812;0,41821507;0,468042777
09.06.2017;0,325538423;0,512158004;0,379326278;0,387269533;0,444586306
10.06.2017;0,306492068;0,477712941;0,358129582;0,369103381;0,42897827
11.06.2017;0,26632974;0,446115774;0,326533741;0,339905988;0,408320695
12.06.2017;0,252073563;0,415771589;0,319901245;0,32395281;0,39201888
13.06.2017;0,290520288;0,403479503;0,353314542;0,351120779;0,383582688
14.06.2017;0,251217104;0,394731142;0,315738564;0,318090505;0,376040279
15.06.2017;0,221909815;0,379700541;0,282933999;0,294110457;0,365398129
16.06.2017;0,2357726;0,367166884;0,318521594;0,332438394;0,361363144
17.06.2017;0,226540605;0,361014842;0,304531038;0,313926807;0,357549915
18.06.2017;0,205003778;0,34751141;0,267803118;0,283682136;0,349980719
19.06.2017;0,187405783;0,32620486;0,236398166;0,256162224;0,338555432
20.06.2017;0,176438572;0,303945452;0,21799056;0,235419955;0,325733662
21.06.2017;0,169121188;0,285972734;0,207119974;0,223401597;0,312545594
22.06.2017;0,163555876;0,271198477;0,199570455;0,215116798;0,298827265
23.06.2017;0,156168121;0,255802152;0,19093667;0,205574048;0,282381162
24.06.2017;0,151418262;0,244327231;0,185511529;0,199310034;0,269834334
25.06.2017;0,1602596;0,23582212;0,184737294;0,203666708;0,259794165
26.06.2017;0,163731259;0,233217066;0,188931538;0,206669641;0,256458047
27.06.2017;0,198344183;0,229426912;0,241076699;0,232784791;0,249402701
28.06.2017;0,19838332;0,228444771;0,248557644;0,232931941;0,249021131
29.06.2017;0,266826795;0,227471898;0,326683975;0,292521844;0,239921345
30.06.2017;0,24477909;0,26363528;0,319877519;0,27638257;0,275162584
01.07.2017;0,223210021;0,269347184;0,297166474;0,261442236;0,286032115
02.07.2017;0,212285862;0,266356476;0,287133524;0,255208813;0,284434099
03.07.2017;0,255383719;0,265820258;0,324282997;0,292250015;0,286007693
04.07.2017;0,229738773;0,265902967;0,297193806;0,267018858;0,284170385
05.07.2017;0,213976712;0,263513381;0,269024343;0,243600198;0,278555506
06.07.2017;0,208780254;0,262686958;0,252423404;0,230623097;0,273062156
07.07.2017;0,214999859;0,274598128;0,260178398;0,232367052;0,27228219
08.07.2017;0,288703095;0,352412826;0,339853457;0,317243667;0,354771605
09.07.2017;0,285330583;0,344559246;0,331850837;0,310730348;0,347862381
10.07.2017;0,28883518;0,353114883;0,332562629;0,318756781;0,352715904
11.07.2017;0,282020402;0,352247369;0,322623648;0,305587324;0,353124601
12.07.2017;0,278679394;0,349757162;0,316162434;0,292810421;0,348337039
13.07.2017;0,269150917;0,345756914;0,303362498;0,274502546;0,340022637
14.07.2017;0,27424042;0,342530663;0,303978255;0,265276429;0,337946299
15.07.2017;0,29188256;0,346993818;0,318483207;0,292864298;0,333773454
16.07.2017;0,271649871;0,343276765;0,297748;0,275742754;0,322524979
17.07.2017;0,247444177;0,336314536;0,269575134;0,254670372;0,307889572
18.07.2017;0,225391998;0,328222208;0,245158099;0,24475005;0,29340287
19.07.2017;0,207961748;0,319828707;0,230858735;0,226458289;0,279432377
20.07.2017;0,212154687;0,319345481;0,250026221;0,217643274;0,271094874
21.07.2017;0,228760557;0,317696779;0,257847875;0,220134902;0,268367861
22.07.2017;0,231611152;0,311329661;0,262983945;0,214725361;0,262972439
23.07.2017;0,288699162;0,310998828;0,31778328;0,258055281;0,264983113
24.07.2017;0,316281457;0,352412126;0,352291735;0,319116506;0,279274415
25.07.2017;0,322218415;0,390552299;0,35880618;0,355632424;0,38307617
26.07.2017;0,340061058;0,539588724;0,386229825;0,436371733;0,535303634
27.07.2017;0,324146728;0,416145616;0,353710404;0,372737695;0,431527418
08.08.2017;0,262451443;0,352344727;0,362834565;0,356781759;0,397737282
09.08.2017;0,344251469;0,479032039;0,410396565;0,422139149;0,489104463
10.08.2017;0,339615964;0,434255794;0,398890682;0,414265048;0,455331293
11.08.2017;0,357861843;0,476061343;0,445430683;0,464750081;0,502490603
12.08.2017;0,339536463;0,43025056;0,389397665;0,409596311;0,447093323
13.08.2017;0,330144987;0,415023184;0,378818468;0,390762303;0,426898233
14.08.2017;0,315115956;0,403832965;0,362272028;0,376280157;0,412443078
15.08.2017;0,29812294;0,397249081;0,336670702;0,354269297;0,402299718
16.08.2017;0,339116175;0,409288182;0,371290917;0,399114672;0,412712973
17.08.2017;0,324576781;0,401293849;0,343330971;0,37185687;0,403359175
18.08.2017;0,326028291;0,403674149;0,335439871;0,363360701;0,406850299
19.08.2017;0,373378071;0,452193175;0,386950018;0,429671492;0,467329129
20.08.2017;0,353455606;0,429078924;0,370725124;0,412224036;0,440073105
21.08.2017;0,344863566;0,413444689;0,355425999;0,395624232;0,420212191
22.08.2017;0,337064582;0,404080126;0,339145658;0,376030888;0,408561896
23.08.2017;0,321095658;0,396086718;0,307992597;0,349804087;0,398306492
24.08.2017;0,295735351;0,386699866;0,2755331;0,319009385;0,386311504
25.08.2017;0,270634285;0,362249618;0,256118909;0,291133899;0,374335631
26.08.2017;0,249335532;0,351645332;0,243096172;0,27149182;0,363322538
27.08.2017;0,233858133;0,341129839;0,245628862;0,255557785;0,351426182
28.08.2017;0,224173708;0,344236892;0,237577362;0,244805245;0,340946163
29.08.2017;0,210707169;0,347493601;0,224395556;0,229175889;0,328198422
30.08.2017;0,200176021;0,336644741;0,214182272;0,215926788;0,313403091
31.08.2017;0,220169189;0,326576259;0,255736168;0,235327316;0,306263686
01.09.2017;0,354933048;0,441881311;0,368990818;0,383418135;0,425347105
02.09.2017;0,41854979;0,663913293;0,514716684;0,507057575;0,55860038
03.09.2017;0,388710924;0,485240228;0,369772011;0,397775246;0,474103247
04.09.2017;0,368891413;0,440018441;0,356048416;0,382642854;0,44423092
05.09.2017;0,363205863;0,425750422;0,350320392;0,37268726;0,423424397
06.09.2017;0,353508196;0,414592587;0,341711302;0,365403327;0,41443518
