GW_GW_EXdt;SM1;SM2;SM3;SM4;SM5
23.06.2017;0,164060976;0,236295391;0,17377067;0,17095225;0,253177987
24.06.2017;0,155985207;0,227960258;0,167585679;0,163815216;0,237175689
25.06.2017;0,24567337;0,226274182;0,232099937;0,202566902;0,224064436
26.06.2017;0,285466894;0,252122475;0,248324754;0,242403573;0,243469184
27.06.2017;0,349617842;0,383753773;0,299498811;0,328514724;0,338278449
28.06.2017;0,345185505;0,366248668;0,287306716;0,310275244;0,325490607
29.06.2017;0,351436131;0,38722181;0,318001411;0,350328075;0,343605255
30.06.2017;0,350129564;0,391641074;0,311713106;0,346028476;0,340849299
01.07.2017;0,349032513;0,38065388;0,305438055;0,335440746;0,334096103
02.07.2017;0,3483016;0,376447378;0,307780313;0,335284771;0,332390018
03.07.2017;0,351624022;0,390239817;0,322908933;0,350777049;0,342961904
04.07.2017;0,34365929;0,369064222;0,289157041;0,305957079;0,323726328
05.07.2017;0,295944332;0,350861958;0,247947015;0,252479383;0,308929127
06.07.2017;0,229032649;0,334195959;0,215468675;0,206985752;0,288051841
07.07.2017;0,194682409;0,307497265;0,201187603;0,185713288;0,264073662
08.07.2017;0,302246876;0,369884576;0,279586831;0,265793917;0,298462734
09.07.2017;0,309655218;0,357423125;0,294836243;0,277941859;0,293110677
10.07.2017;0,349244739;0,379334506;0,319223607;0,333599809;0,316688951
11.07.2017;0,352007361;0,4114276;0,327432072;0,353280312;0,340629951
12.07.2017;0,350514049;0,397976933;0,323800332;0,342973808;0,333155335
13.07.2017;0,352660863;0,420670646;0,332256506;0,361588213;0,346429388
14.07.2017;0,35164719;0,420485652;0,335586074;0,368045149;0,349734373
15.07.2017;0,35037005;0,421892274;0,333925882;0,362043819;0,349973423
16.07.2017;0,34352383;0,39625034;0,311991428;0,33671884;0,329841945
17.07.2017;0,29618765;0,376584025;0,274951869;0,284762823;0,314459986
18.07.2017;0,260519865;0,359739469;0,282611637;0,267722438;0,306958235
19.07.2017;0,336215075;0,359290978;0,310121804;0,327935918;0,319109228
20.07.2017;0,35307858;0,416006447;0,336053091;0,377931997;0,35183266
