EB_EB_EXdt;SM1;SM2;SM3;SM4;SM5
11.01.2017;NA;NA;NA;NA;NA
12.01.2017;NA;NA;NA;NA;NA
13.01.2017;NA;NA;NA;NA;NA
14.01.2017;NA;NA;NA;NA;NA
15.01.2017;NA;NA;NA;NA;NA
16.01.2017;NA;NA;NA;NA;NA
17.01.2017;NA;NA;NA;NA;NA
18.01.2017;NA;NA;NA;NA;NA
19.01.2017;NA;NA;NA;NA;NA
20.01.2017;NA;NA;NA;NA;NA
21.01.2017;NA;NA;NA;NA;NA
22.01.2017;NA;NA;NA;NA;NA
23.01.2017;NA;NA;NA;NA;NA
24.01.2017;NA;NA;NA;NA;NA
25.01.2017;NA;NA;NA;NA;NA
26.01.2017;NA;NA;NA;NA;NA
27.01.2017;NA;NA;NA;NA;NA
28.01.2017;NA;NA;NA;NA;NA
29.01.2017;NA;NA;NA;NA;NA
30.01.2017;NA;NA;NA;NA;NA
31.01.2017;NA;0,231003968;NA;NA;NA
01.02.2017;NA;0,233921171;0,196230951;NA;NA
02.02.2017;NA;0,233019142;0,203525326;NA;NA
03.02.2017;NA;0,231188984;0,212680569;NA;NA
04.02.2017;NA;0,245317239;0,212919811;NA;NA
05.02.2017;NA;0,24602608;0,217574427;NA;NA
06.02.2017;NA;0,24836387;0,221162427;NA;NA
07.02.2017;NA;0,249341688;0,225049777;NA;NA
08.02.2017;NA;0,252608479;0,228013321;NA;NA
09.02.2017;NA;0,254105429;0,231901701;NA;NA
10.02.2017;NA;0,25599031;0,235524846;NA;NA
11.02.2017;NA;0,256089862;0,239825423;NA;NA
12.02.2017;NA;0,25655688;0,243310702;NA;NA
13.02.2017;NA;0,256789296;0,246610398;NA;NA
14.02.2017;NA;0,255506025;0,249039911;NA;NA
15.02.2017;NA;0,253517042;0,248432468;NA;NA
16.02.2017;NA;0,250502959;0,240865932;NA;NA
17.02.2017;NA;0,259041361;0,226959525;NA;NA
18.02.2017;NA;0,261985092;0,223752984;NA;NA
19.02.2017;NA;0,258809142;0,225369127;NA;NA
20.02.2017;NA;0,260819465;0,22268623;NA;NA
21.02.2017;NA;0,265913481;0,226521068;NA;NA
22.02.2017;NA;0,260727274;0,233096473;NA;NA
23.02.2017;NA;0,252503347;0,240236302;NA;NA
24.02.2017;NA;0,264664584;0,239423853;NA;NA
