GW_EB_EXdt;SM1;SM2;SM3;SM4;SM5
24.05.2017;0,183847542;0,276907015;0,219811266;0,190691632;0,310897891
25.05.2017;0,231286908;0,267927283;0,276254499;0,237717561;0,309567513
26.05.2017;0,186454139;0,260494828;0,240645769;0,201445672;0,303832265
27.05.2017;0,160208161;0,243065186;0,206516288;0,163689893;0,288005011
28.05.2017;0,147765941;0,223923359;0,185199143;0,142745102;0,268425847
29.05.2017;0,139192865;0,208158701;0,168845248;0,127469727;0,247187179
30.05.2017;0,141039156;0,196558872;0,163848579;0,109158395;0,231065317
31.05.2017;0,233105128;0,336633068;0,292763854;0,198628892;0,268565928
01.06.2017;0,27245575;0,3907532;0,31534794;0,236540623;0,35225263
02.06.2017;0,295882471;0,408744277;0,326348439;0,26154025;0,387828388
03.06.2017;0,287624285;0,395118084;0,321996567;0,260181386;0,385102484
04.06.2017;0,314165952;0,424724125;0,333583017;0,2828533;0,40340985
05.06.2017;0,311762883;0,414304017;0,330137789;0,280777756;0,400127736
06.06.2017;0,325604731;0,435212028;0,337700579;0,293987333;0,414800268
07.06.2017;0,309755377;0,409320056;0,326159385;0,281985291;0,398782024
08.06.2017;0,288046858;0,384542835;0,297448508;0,250732909;0,384098162
09.06.2017;0,279513768;0,377080614;0,276846712;0,226315067;0,37696513
10.06.2017;0,308385175;0,390538465;0,300106286;0,253273203;0,385384776
11.06.2017;0,288796079;0,382940278;0,286135168;0,237794422;0,378128647
12.06.2017;0,268402626;0,373676427;0,269588708;0,223504032;0,37745029
13.06.2017;0,243105246;0,366591515;0,255261244;0,205188616;0,369081311
14.06.2017;0,212677534;0,357997154;0,23531367;0,184044169;0,358548772
15.06.2017;0,196418487;0,347183297;0,219611432;0,165087607;0,347130779
16.06.2017;0,281066603;0,393642364;0,275665677;0,224343267;0,382562552
17.06.2017;0,279328751;0,397560462;0,273479081;0,22148927;0,390703347
18.06.2017;0,241879682;0,376403854;0,252787596;0,197922495;0,376646523
19.06.2017;0,203934682;0,358309016;0,228004154;0,166504533;0,357958919
20.06.2017;0,182488374;0,341724222;0,205896408;0,141398789;0,337859522
21.06.2017;0,168940589;0,319584036;0,18240183;0,122481779;0,318764101
22.06.2017;0,159690234;0,296876285;0,160995888;0,105903169;0,302554505
23.06.2017;0,149564542;0,273230414;0,140723729;0,088392922;0,283406375
24.06.2017;0,143440594;0,255223622;0,127742209;0,076699548;0,267069117
25.06.2017;0,185878953;0,248187486;0,169870903;0,122252227;0,27474233
26.06.2017;0,211852467;0,288114809;0,200156757;0,150547721;0,291556081
27.06.2017;0,272526623;0,4325051;0,239408331;0,193927598;0,410056815
28.06.2017;0,265072782;0,409602904;0,23406866;0,190972834;0,395255945
29.06.2017;0,302625582;0,448297487;0,256160211;0,213713429;0,428173037
30.06.2017;0,285960046;0,446512188;0,253996515;0,212339607;0,429995321
01.07.2017;0,278192074;0,433169281;0,252358531;0,209432297;0,418408005
02.07.2017;0,287440066;0,432077762;0,26309412;0,20936093;0,416255452
03.07.2017;0,298061084;0,45627638;0,282171241;0,21911859;0,430488098
04.07.2017;0,264030337;0,419329683;0,257785873;0,202337539;0,40170581
05.07.2017;0,229220337;0,388993537;0,237713277;0,18282511;0,379937421
06.07.2017;0,192352588;0,364813868;0,21355872;0,159971463;0,358633834
07.07.2017;0,174296611;0,343009432;0,193298467;0,143452225;0,341676229
08.07.2017;0,241301348;0,416595567;0,260268634;0,196520667;0,377168375
09.07.2017;0,257264516;0,409260217;0,264496843;0,205775297;0,376476043
10.07.2017;0,293027695;0,448209409;0,292227399;0,234547259;0,399632184
11.07.2017;0,303074998;0,465859224;0,297764033;0,249434264;0,431598605
12.07.2017;0,300280501;0,451761248;0,298332109;0,245990453;0,422588792
13.07.2017;0,306668294;0,474925335;0,316737338;0,266903753;0,447967814
14.07.2017;0,314607176;0,482871377;0,325903693;0,284246385;0,453169363
15.07.2017;0,30872092;0,482056865;0,341824816;0,287467047;0,453046244
16.07.2017;0,286763516;0,441013529;0,328637256;0,256482754;0,421456634
17.07.2017;0,243569148;0,406581809;0,317376956;0,229699201;0,394805923
18.07.2017;0,251307449;0,399128239;0,330776136;0,209519944;0,382068259
19.07.2017;0,284771154;0,433005571;0,364645134;0,229010671;0,395876161
20.07.2017;0,31698737;0,480299005;0,390717366;0,275953967;0,439902135
21.07.2017;0,308842217;0,462014343;0,384129522;0,282680666;0,441513138
22.07.2017;0,305158469;0,459501942;0,378926331;0,279370048;0,436754266
23.07.2017;0,317301717;0,478896226;0,392211394;0,300624413;0,455474728
24.07.2017;0,336803305;0,505577032;0,417646292;0,320870235;0,478854096
25.07.2017;0,339923018;0,508963423;0,42103203;0,323903852;0,480154057
26.07.2017;0,353989191;0,530299074;0,453951297;0,343276729;0,497939675
27.07.2017;0,321543539;0,495904333;0,405708196;0,312035501;0,465401359
08.08.2017;0,322318837;0,472469648;0,373291514;0,317705143;0,464437523
09.08.2017;0,346150855;0,499476606;0,38355248;0,345036397;0,483706616
10.08.2017;0,34877596;0,487540156;0,382158869;0,339262914;0,476888262
11.08.2017;0,354807054;0,495995182;0,387587225;0,349250867;0,484565432
12.08.2017;0,349381198;0,484190535;0,379847455;0,343476915;0,473953562
13.08.2017;0,342372799;0,460401043;0,366783024;0,325773463;0,453723566
14.08.2017;0,342136416;0,445314703;0,364435237;0,31599349;0,443233437
15.08.2017;0,340716092;0,44404917;0,365264213;0,308151557;0,442976473
16.08.2017;0,359548658;0,485784237;0,386691188;0,339516071;0,481836951
17.08.2017;0,341996935;0,451164734;0,365514839;0,303919541;0,448163664
18.08.2017;0,339081814;0,443511484;0,363793541;0,290089942;0,440877702
19.08.2017;0,374394789;0,511771305;0,412337696;0,356645639;0,502150305
20.08.2017;0,354737524;0,480570026;0,387174805;0,333228811;0,470278211
21.08.2017;0,343591661;0,450786171;0,373234924;0,314886547;0,446453681
22.08.2017;0,336582705;0,433874105;0,362519777;0,293147543;0,429474757
23.08.2017;0,316996932;0,415090345;0,344719357;0,259152903;0,415582899
24.08.2017;0,309749431;0,423086929;0,349844052;0,253430003;0,42160271
25.08.2017;0,353986216;0,469001654;0,384648185;0,310893684;0,459106725
26.08.2017;0,339568568;0,441268871;0,368610217;0,283863149;0,434329959
27.08.2017;0,325282484;0,424545278;0,356040402;0,261991093;0,419679684
28.08.2017;0,301595728;0,410776162;0,342272777;0,234829212;0,407908109
29.08.2017;0,264715304;0,396212908;0,319955512;0,197498152;0,394010824
30.08.2017;0,231092821;0,382630378;0,293292473;0,170086242;0,378859035
