"plotO","plotT","Nr","Name","Datum","Transplant","Origin","Treatment","PlotID","Biomass.g.m².","pAsh","pFat","pProt","Ash","Fat","Protein","Fibre","year","C","N","P","CN","NP","dT"
"Esterberg","Esterberg",198,"gr_198","21.09.2017","EB","EB","Intensive","EB-110",257.8168607,8.791943478,2.748195345,12.55634675,NA,NA,NA,NA,"2017",42.4,2.3,3.23,18.43478261,7.120743034,"Ctrl"
"Esterberg","Esterberg",199,"gr_199","21.09.2017","EB","EB","Intensive","EB-116",301.9558316,11.87432139,2.270037009,12.62974157,NA,NA,NA,NA,"2017",41.2,2.16,3.15,19.07407407,6.857142857,"Ctrl"
"Esterberg","Esterberg",53,"gr_53","22.05.2017","EB","EB","Intensive","EB-10",69.85840969,7.150316027,2.923616254,21.01660337,NA,NA,NA,NA,"2017",43.9,4.07,3.74,10.78624079,10.88235294,"Ctrl"
"Esterberg","Esterberg",54,"gr_54","22.05.2017","EB","EB","Intensive","EB-110",77.49784696,5.902495814,3.143439926,22.34681068,NA,NA,NA,NA,"2017",44.5,3.57,3.49,12.46498599,10.22922636,"Ctrl"
"Esterberg","Esterberg",85,"gr_85","08.06.2017","EB","EB","Extensive","EB-237",267.2105391,5.285898484,2.957789178,14.74227708,NA,NA,NA,NA,"2017",43.2,2.87,2.84,15.05226481,10.1056338,"Ctrl"
"Esterberg","Esterberg",194,"gr_194","21.09.2017","EB","EB","Extensive","EB-246",316.6688219,8.379750989,2.631992232,12.44393028,NA,NA,NA,NA,"2017",42.5,2.02,2.03,21.03960396,9.950738916,"Ctrl"
"Esterberg","Esterberg",195,"gr_195","21.09.2017","EB","EB","Extensive","EB-40",386.979939,7.603048174,3.268069804,10.63137874,7.37,3.3,10.4,23.5,"2017",41.7,2.28,2.69,18.28947368,8.475836431,"Ctrl"
"Esterberg","Esterberg",196,"gr_196","21.09.2017","EB","EB","Extensive","EB-58",239.1426807,9.229398954,2.694885115,11.55548166,NA,NA,NA,NA,"2017",41.8,2.43,3.03,17.20164609,8.01980198,"Ctrl"
"Esterberg","Esterberg",456,"gr_456","22.10.2018","EB","EB","Extensive","EB-40",136.3073668,8.260077495,3.947993978,14.80909746,NA,NA,NA,NA,"2018",43.6,2.5,3.57,17.44,7.00280112,"Ctrl"
"Esterberg","Esterberg",457,"gr_457","22.10.2018","EB","EB","Extensive","EB-58",111.6914023,9.176551909,3.485560952,13.68642132,NA,NA,NA,NA,"2018",43.3,2.38,2.82,18.19327731,8.439716312,"Ctrl"
"Esterberg","Esterberg",458,"gr_458","22.10.2018","EB","EB","Extensive","EB-143",151.3032992,8.438701104,4.255816585,13.30976122,NA,NA,NA,NA,"2018",42.8,2.21,3.27,19.36651584,6.758409786,"Ctrl"
"Esterberg","Esterberg",339,"gr_339","25.06.2018","EB","EB","Intensive","EB-207",297.7682882,5.856058838,3.022024303,11.39202063,NA,NA,NA,NA,"2018",43.7,1.84,2.03,23.75,9.064039409,"Ctrl"
"Esterberg","Esterberg",340,"gr_340","25.06.2018","EB","EB","Intensive","EB-225",245.4239958,6.690834541,3.055906618,12.60201886,NA,NA,NA,NA,"2018",43.9,2.01,2.09,21.84079602,9.61722488,"Ctrl"
"Esterberg","Esterberg",341,"gr_341","25.06.2018","EB","EB","Intensive","EB-22",249.8095987,7.557843179,3.086026053,12.41250618,NA,NA,NA,NA,"2018",43.2,1.93,2.66,22.38341969,7.255639098,"Ctrl"
"Esterberg","Esterberg",84,"gr_84","08.06.2017","EB","EB","Extensive","EB-155",403.9564662,6.410751943,2.124623558,15.957452,NA,NA,NA,NA,"2017",43,2.65,3.25,16.22641509,8.153846154,"Ctrl"
"Esterberg","Esterberg",58,"gr_58","22.05.2017","EB","EB","Intensive","EB-225",71.55606241,6.078032287,3.075686167,21.65933727,NA,NA,NA,NA,"2017",44.1,3.86,2.89,11.42487047,13.35640138,"Ctrl"
"Esterberg","Esterberg",86,"gr_86","08.06.2017","EB","EB","Extensive","EB-246",209.6318175,5.983703553,2.42719824,15.50576313,NA,NA,NA,NA,"2017",42.8,2.79,2.63,15.34050179,10.60836502,"Ctrl"
"Esterberg","Esterberg",87,"gr_87","08.06.2017","EB","EB","Extensive","EB-40",257.4490359,6.918604658,2.479642755,16.15437807,7.62,2.5,16.1,21.9,"2017",39.1,2.42,3.4,16.15702479,7.117647059,"Ctrl"
"Esterberg","Esterberg",88,"gr_88","08.06.2017","EB","EB","Extensive","EB-58",276.8305712,6.774243106,2.583184769,13.67818171,NA,NA,NA,NA,"2017",42.3,2.63,3.17,16.08365019,8.296529968,"Ctrl"
"Esterberg","Esterberg",426,"gr_426","17.09.2018","EB","EB","Intensive","EB-116",60.94573287,8.730013063,3.173028504,19.99588263,NA,NA,NA,NA,"2018",41.2,3.06,4.59,13.46405229,6.666666667,"Ctrl"
"Esterberg","Esterberg",307,"gr_307","12.06.2018","EB","EB","Extensive","EB-58",233.5404267,6.84724755,2.081612387,10.22664642,NA,NA,NA,NA,"2018",43,2.13,2.32,20.18779343,9.181034483,"Ctrl"
"Esterberg","Esterberg",308,"gr_308","12.06.2018","EB","EB","Extensive","EB-143",257.8734491,7.671230349,2.948715687,13.37845161,NA,NA,NA,NA,"2018",43.2,2.28,2.95,18.94736842,7.728813559,"Ctrl"
"Esterberg","Esterberg",309,"gr_309","12.06.2018","EB","EB","Extensive","EB-155",548.8794206,7.657583486,2.714768091,12.74314352,7.47,3,13,22.9,"2018",42.8,2.25,2.61,19.02222222,8.620689655,"Ctrl"
"Esterberg","Esterberg",310,"gr_310","12.06.2018","EB","EB","Extensive","EB-237",557.2262132,5.482966322,2.639134861,10.02341389,NA,NA,NA,NA,"2018",43.9,1.54,1.66,28.50649351,9.277108434,"Ctrl"
"Esterberg","Esterberg",459,"gr_459","22.10.2018","EB","EB","Extensive","EB-155",147.6250517,10.47387386,4.026873074,15.65726221,NA,NA,NA,NA,"2018",40.4,2.39,3.02,16.90376569,7.913907285,"Ctrl"
"Esterberg","Esterberg",55,"gr_55","22.05.2017","EB","EB","Intensive","EB-116",88.8155318,6.467334377,3.356891203,21.47651659,NA,NA,NA,NA,"2017",43.8,3.68,3.65,11.90217391,10.08219178,"Ctrl"
"Esterberg","Esterberg",83,"gr_83","08.06.2017","EB","EB","Extensive","EB-143",318.281592,6.180832292,2.495988942,13.44808302,NA,NA,NA,NA,"2017",40.3,2.59,2.84,15.55984556,9.11971831,"Ctrl"
"Esterberg","Esterberg",57,"gr_57","22.05.2017","EB","EB","Intensive","EB-22",26.85120729,6.437298681,3.525951638,24.41223686,NA,NA,NA,NA,"2017",43,4.14,4.09,10.38647343,10.12224939,"Ctrl"
"Esterberg","Esterberg",192,"gr_192","21.09.2017","EB","EB","Extensive","EB-155",438.475405,10.09092948,2.700943467,13.66500281,NA,NA,NA,NA,"2017",41,1.99,2.6,20.60301508,7.653846154,"Ctrl"
"Esterberg","Esterberg",193,"gr_193","21.09.2017","EB","EB","Extensive","EB-237",381.3210965,9.022739062,2.703582956,12.18349783,NA,NA,NA,NA,"2017",43,2.14,1.71,20.09345794,12.51461988,"Ctrl"
"Esterberg","Esterberg",113,"gr_113","05.07.2017","EB","EB","Intensive","EB-10",507.711342,7.643557174,2.494032571,10.65986488,NA,NA,NA,NA,"2017",42.5,1.96,2.3,21.68367347,8.52173913,"Ctrl"
"Esterberg","Esterberg",114,"gr_114","05.07.2017","EB","EB","Intensive","EB-110",432.5902089,7.782410148,2.204099085,9.890434103,NA,NA,NA,NA,"2017",42.5,1.93,2.72,22.02072539,7.095588235,"Ctrl"
"Esterberg","Esterberg",115,"gr_115","05.07.2017","EB","EB","Intensive","EB-116",317.7157077,8.300265008,3.068255402,11.49712677,8.37,2.9,10.7,22.1,"2017",42.4,1.6,2.42,26.5,6.611570248,"Ctrl"
"Esterberg","Esterberg",116,"gr_116","05.07.2017","EB","EB","Intensive","EB-207",366.3817526,9.973563703,1.991175609,10.60505091,NA,NA,NA,NA,"2017",43.3,2.3,1.93,18.82608696,11.91709845,"Ctrl"
"Esterberg","Esterberg",117,"gr_117","05.07.2017","EB","EB","Intensive","EB-22",492.9983517,7.678158689,2.482656767,11.39289401,NA,NA,NA,NA,"2017",42.8,1.83,2.92,23.38797814,6.267123288,"Ctrl"
"Esterberg","Esterberg",118,"gr_118","05.07.2017","EB","EB","Intensive","EB-225",399.0615675,6.454375647,2.922293325,11.88981465,7.05,3.1,12,22.7,"2017",43,1.79,2,24.02234637,8.95,"Ctrl"
"Esterberg","Esterberg",200,"gr_200","21.09.2017","EB","EB","Intensive","EB-207",322.0447222,8.151378155,2.905011805,12.76187572,NA,NA,NA,NA,"2017",42.8,2.22,2.21,19.27927928,10.04524887,"Ctrl"
"Esterberg","Esterberg",201,"gr_201","21.09.2017","EB","EB","Intensive","EB-22",235.7473753,7.796534168,2.650155974,11.03894916,NA,NA,NA,NA,"2017",42.9,2.17,2.6,19.76958525,8.346153846,"Ctrl"
"Esterberg","Esterberg",202,"gr_202","21.09.2017","EB","EB","Intensive","EB-225",266.7295375,10.32698147,2.321676993,11.75888479,NA,NA,NA,NA,"2017",41.9,2.07,2.33,20.24154589,8.884120172,"Ctrl"
"Esterberg","Esterberg",56,"gr_56","22.05.2017","EB","EB","Intensive","EB-207",83.86404468,6.578394611,3.02632889,20.80474286,NA,NA,NA,NA,"2017",44.3,3.94,3.29,11.24365482,11.97568389,"Ctrl"
"Esterberg","Esterberg",191,"gr_191","21.09.2017","EB","EB","Extensive","EB-143",340.4359601,8.089608235,2.938776927,11.55859269,NA,NA,NA,NA,"2017",43.3,2,3,21.65,6.666666667,"Ctrl"
"Esterberg","Esterberg",367,"gr_367","09.08.2018","EB","EB","Extensive","EB-58",261.5092554,8.510236933,3.33751802,12.80216769,NA,NA,NA,NA,"2018",43.1,2.07,2.93,20.82125604,7.064846416,"Ctrl"
"Esterberg","Esterberg",368,"gr_368","09.08.2018","EB","EB","Extensive","EB-143",277.071072,8.412368456,4.378551817,15.57762638,NA,NA,NA,NA,"2018",43,3.22,3.54,13.35403727,9.096045198,"Ctrl"
"Esterberg","Esterberg",369,"gr_369","09.08.2018","EB","EB","Extensive","EB-155",359.1242871,9.073631951,3.37771144,13.6742194,NA,NA,NA,NA,"2018",41.5,2.24,2.93,18.52678571,7.645051195,"Ctrl"
"Esterberg","Esterberg",370,"gr_370","09.08.2018","EB","EB","Extensive","EB-237",325.3127037,6.727652148,3.771961886,12.65475427,NA,NA,NA,NA,"2018",43.8,2.04,2.12,21.47058824,9.622641509,"Ctrl"
"Esterberg","Esterberg",371,"gr_371","09.08.2018","EB","EB","Extensive","EB-246",288.2472858,8.942429435,4.17318359,15.69984065,NA,NA,NA,NA,"2018",43.1,2.14,2.39,20.14018692,8.953974895,"Ctrl"
"Esterberg","Esterberg",372,"gr_372","09.08.2018","EB","EB","Intensive","EB-116",212.9846816,10.32054904,4.149930722,14.58385878,NA,NA,NA,NA,"2018",42,2.06,3.5,20.38834951,5.885714286,"Ctrl"
"Esterberg","Esterberg",373,"gr_373","09.08.2018","EB","EB","Intensive","EB-110",253.0209918,7.404494973,3.240419134,13.23438131,NA,NA,NA,NA,"2018",42.6,2.02,3.38,21.08910891,5.976331361,"Ctrl"
"Esterberg","Esterberg",374,"gr_374","09.08.2018","EB","EB","Intensive","EB-10",258.1139499,8.669163454,3.97367368,15.93717685,NA,NA,NA,NA,"2018",43.1,2.37,3.35,18.18565401,7.074626866,"Ctrl"
"Esterberg","Esterberg",375,"gr_375","09.08.2018","EB","EB","Intensive","EB-207",258.3968921,7.298682813,3.924487603,14.88323803,NA,NA,NA,NA,"2018",43.8,2.46,2.56,17.80487805,9.609375,"Ctrl"
"Esterberg","Esterberg",376,"gr_376","09.08.2018","EB","EB","Intensive","EB-225",263.065437,7.446299247,3.752881826,15.6078654,NA,NA,NA,NA,"2018",43.3,2.37,2.42,18.27004219,9.79338843,"Ctrl"
"Esterberg","Esterberg",377,"gr_377","09.08.2018","EB","EB","Intensive","EB-22",339.1768676,8.149526205,3.276273392,13.72755816,NA,NA,NA,NA,"2018",43.1,2.13,3.03,20.23474178,7.02970297,"Ctrl"
"Esterberg","Esterberg",460,"gr_460","22.10.2018","EB","EB","Extensive","EB-237",132.3461771,7.109706728,4.090159682,13.50234525,NA,NA,NA,NA,"2018",43.5,2.37,2.1,18.35443038,11.28571429,"Ctrl"
"Esterberg","Esterberg",366,"gr_366","09.08.2018","EB","EB","Extensive","EB-40",459.8516822,8.745539234,3.351085758,10.86580875,NA,NA,NA,NA,"2018",42.9,1.6,2.8,26.8125,5.714285714,"Ctrl"
"Esterberg","Esterberg",462,"gr_462","22.10.2018","EB","EB","Intensive","EB-116",62.74241534,8.007823693,4.184632172,14.78816446,NA,NA,NA,NA,"2018",42.8,2.4,3.49,17.83333333,6.876790831,"Ctrl"
"Esterberg","Esterberg",463,"gr_463","22.10.2018","EB","EB","Intensive","EB-110",31.76025309,9.313859639,4.63495326,19.15547254,NA,NA,NA,NA,"2018",42.7,3.08,3.72,13.86363636,8.279569892,"Ctrl"
"Esterberg","Esterberg",464,"gr_464","22.10.2018","EB","EB","Intensive","EB-10",46.7561855,9.136170153,3.54676891,17.33345743,NA,NA,NA,NA,"2018",42.3,2.95,3.41,14.33898305,8.651026393,"Ctrl"
"Esterberg","Esterberg",465,"gr_465","22.10.2018","EB","EB","Intensive","EB-207",55.66886232,8.387632921,3.849010067,16.98634538,NA,NA,NA,NA,"2018",42.4,3,3,14.13333333,10,"Ctrl"
"Esterberg","Esterberg",466,"gr_466","22.10.2018","EB","EB","Intensive","EB-225",38.83380611,7.968983282,4.329237637,18.49357522,NA,NA,NA,NA,"2018",43.7,3.13,3.26,13.96166134,9.601226994,"Ctrl"
"Esterberg","Esterberg",467,"gr_467","22.10.2018","EB","EB","Intensive","EB-22",71.79656322,8.460850477,3.258933156,16.12421049,NA,NA,NA,NA,"2018",44.1,3.05,3.34,14.45901639,9.131736527,"Ctrl"
"Esterberg","Esterberg",427,"gr_427","17.09.2018","EB","EB","Intensive","EB-110",65.89721999,6.164956107,3.712011697,19.32197904,NA,NA,NA,NA,"2018",43.5,3.16,4.83,13.76582278,6.542443064,"Ctrl"
"Esterberg","Esterberg",428,"gr_428","17.09.2018","EB","EB","Intensive","EB-10",46.94009788,6.815872006,3.735549531,23.71997538,NA,NA,NA,NA,"2018",43.3,3.59,4.58,12.06128134,7.838427948,"Ctrl"
"Esterberg","Esterberg",429,"gr_429","17.09.2018","EB","EB","Intensive","EB-207",51.1842297,5.736653945,3.844100673,22.16634611,NA,NA,NA,NA,"2018",44.5,3.53,3.8,12.60623229,9.289473684,"Ctrl"
"Esterberg","Esterberg",430,"gr_430","17.09.2018","EB","EB","Intensive","EB-225",72.97077302,5.164856915,4.049039532,23.05844073,NA,NA,NA,NA,"2018",44.7,3.42,3.81,13.07017544,8.976377953,"Ctrl"
"Esterberg","Esterberg",431,"gr_431","17.09.2018","EB","EB","Intensive","EB-22",55.99424576,4.596025779,3.424336237,21.71480741,NA,NA,NA,NA,"2018",44,3.26,4.25,13.49693252,7.670588235,"Ctrl"
"Esterberg","Esterberg",311,"gr_311","12.06.2018","EB","EB","Extensive","EB-246",401.8909887,7.02698757,2.946815032,12.69336344,NA,NA,NA,NA,"2018",43.1,1.92,2.21,22.44791667,8.687782805,"Ctrl"
"Esterberg","Esterberg",461,"gr_461","22.10.2018","EB","EB","Extensive","EB-246",125.2726241,10.467115,3.660981665,14.10015419,NA,NA,NA,NA,"2018",39.5,2.37,2.62,16.66666667,9.045801527,"Ctrl"
"Esterberg","Fendt",295,"gr_295","13.05.2018","FE","EB","Intensive","EB-148",305.6906676,7.337511182,2.68152218,12.3683527,NA,NA,NA,NA,"2018",44.6,1.99,2.62,22.4120603,7.595419847,"+4"
"Esterberg","Fendt",296,"gr_296","13.05.2018","FE","EB","Intensive","EB-242",448.8593808,6.868750014,3.041205029,13.98516711,NA,NA,NA,NA,"2018",44.5,2.36,2.42,18.8559322,9.752066116,"+4"
"Esterberg","Fendt",297,"gr_297","13.05.2018","FE","EB","Intensive","EB-257",200.4361986,6.297313787,3.221869554,14.55712149,NA,NA,NA,NA,"2018",44.9,2.48,2.26,18.10483871,10.97345133,"+4"
"Esterberg","Fendt",298,"gr_298","13.05.2018","FE","EB","Intensive","EB-39",482.1050801,9.115425873,2.46768633,12.68247801,NA,NA,NA,NA,"2018",44.1,2.21,2.73,19.95475113,8.095238095,"+4"
"Esterberg","Fendt",299,"gr_299","13.05.2018","FE","EB","Intensive","EB-51",519.7363822,6.576836692,2.887971977,13.73338227,NA,NA,NA,NA,"2018",44.3,2.39,2.68,18.53556485,8.917910448,"+4"
"Esterberg","Fendt",504,"gr_504","22.10.2018","FE","EB","Intensive","EB-136",50.0100199,9.32976744,3.839879695,19.71810998,NA,NA,NA,NA,"2018",42.1,3.19,2.99,13.19749216,10.66889632,"+4"
"Esterberg","Fendt",505,"gr_505","22.10.2018","FE","EB","Intensive","EB-148",96.12958563,6.344949346,4.522376473,20.69559544,NA,NA,NA,NA,"2018",44,2.94,3.51,14.96598639,8.376068376,"+4"
"Esterberg","Fendt",506,"gr_506","22.10.2018","FE","EB","Intensive","EB-242",74.20157125,6.871256382,3.373241465,18.60006666,NA,NA,NA,NA,"2018",43.4,3.06,2.95,14.18300654,10.37288136,"+4"
"Esterberg","Fendt",507,"gr_507","22.10.2018","FE","EB","Intensive","EB-257",83.82160336,6.45512042,3.49341927,20.5235626,NA,NA,NA,NA,"2018",44.5,3.2,3.42,13.90625,9.356725146,"+4"
"Esterberg","Fendt",508,"gr_508","22.10.2018","FE","EB","Intensive","EB-39",130.6485244,5.851146734,3.797499787,18.62351138,NA,NA,NA,NA,"2018",44.5,2.98,3.75,14.93288591,7.946666667,"+4"
"Esterberg","Fendt",143,"gr_143","08.08.2017","FE","EB","Extensive","EB-21",383.4997509,8.457008617,2.257784006,11.37061315,NA,NA,NA,NA,"2017",42.8,2.4,3.14,17.83333333,7.643312102,"+4"
"Esterberg","Fendt",144,"gr_144","08.08.2017","FE","EB","Extensive","EB-09",425.8844806,7.641767687,2.665755899,12.66096183,NA,NA,NA,NA,"2017",42.9,2.05,3.06,20.92682927,6.699346405,"+4"
"Esterberg","Fendt",145,"gr_145","08.08.2017","FE","EB","Extensive","EB-109",299.4659409,8.094732663,2.332156797,12.16634103,8.21,2.2,12.4,23.5,"2017",43.9,1.89,3.04,23.22751323,6.217105263,"+4"
"Esterberg","Fendt",146,"gr_146","08.08.2017","FE","EB","Extensive","EB-121",359.11014,9.770969757,2.848748689,12.88358541,9.72,2.9,12.5,20,"2017",42.2,2.27,3.37,18.59030837,6.735905045,"+4"
"Esterberg","Fendt",147,"gr_147","08.08.2017","FE","EB","Extensive","EB-215",356.6202494,8.904227356,2.925332585,13.30510471,7.87,3.1,14.3,24.9,"2017",44.1,2.31,2.46,19.09090909,9.390243902,"+4"
"Esterberg","Fendt",148,"gr_148","08.08.2017","FE","EB","Extensive","EB-230",462.1010721,9.138034417,2.79113748,14.73788242,NA,NA,NA,NA,"2017",43.9,2.14,2.48,20.51401869,8.629032258,"+4"
"Esterberg","Fendt",149,"gr_149","08.08.2017","FE","EB","Intensive","EB-136",217.5541969,8.880618375,2.963320562,16.34616281,NA,NA,NA,NA,"2017",42.9,2.64,3.51,16.25,7.521367521,"+4"
"Esterberg","Fendt",150,"gr_150","08.08.2017","FE","EB","Intensive","EB-148",178.9325974,9.58469739,3.422780055,16.69753745,NA,NA,NA,NA,"2017",41.2,2.41,4.46,17.09543568,5.403587444,"+4"
"Esterberg","Fendt",151,"gr_151","08.08.2017","FE","EB","Intensive","EB-242",204.5388593,8.534129112,3.915637307,17.57999668,NA,NA,NA,NA,"2017",42.9,3.17,3.58,13.53312303,8.854748603,"+4"
"Esterberg","Fendt",152,"gr_152","08.08.2017","FE","EB","Intensive","EB-257",220.242147,10.51311877,3.762851239,18.86102212,NA,NA,NA,NA,"2017",41.3,3.18,3.41,12.98742138,9.325513196,"+4"
"Esterberg","Fendt",153,"gr_153","08.08.2017","FE","EB","Intensive","EB-39",210.763586,8.98286974,3.311132832,16.4401617,NA,NA,NA,NA,"2017",42.4,2.57,3.93,16.49805447,6.539440204,"+4"
"Esterberg","Fendt",154,"gr_154","08.08.2017","FE","EB","Intensive","EB-51",327.5620935,8.470201339,3.100775515,16.41579163,NA,NA,NA,NA,"2017",42.7,2.68,3.69,15.93283582,7.262872629,"+4"
"Esterberg","Fendt",235,"gr_235","08.11.2017","FE","EB","Intensive","EB-242",118.4678661,11.74157505,2.978421867,19.38175395,NA,NA,NA,NA,"2017",38.7,3.38,3.21,11.44970414,10.52959502,"+4"
"Esterberg","Fendt",236,"gr_236","08.11.2017","FE","EB","Intensive","EB-257",126.3902455,10.68554995,2.987341253,19.06139859,NA,NA,NA,NA,"2017",42.5,3.4,3.04,12.5,11.18421053,"+4"
"Esterberg","Fendt",237,"gr_237","08.11.2017","FE","EB","Intensive","EB-39",113.516379,9.674356248,3.023101792,18.85211926,NA,NA,NA,NA,"2017",42.5,3.26,3.33,13.03680982,9.78978979,"+4"
"Esterberg","Fendt",238,"gr_238","08.11.2017","FE","EB","Intensive","EB-51",92.15424883,11.530968,3.105920336,17.56983898,NA,NA,NA,NA,"2017",40.6,3.25,3.26,12.49230769,9.969325153,"+4"
"Esterberg","Fendt",402,"gr_402","09.08.2018","FE","EB","Extensive","EB-21",325.7371169,5.418253313,3.354916308,9.093605715,NA,NA,NA,NA,"2018",43.7,1.56,2.69,28.01282051,5.799256506,"+4"
"Esterberg","Fendt",403,"gr_403","09.08.2018","FE","EB","Extensive","EB-09",322.2003403,6.844215502,3.708272554,10.56714893,NA,NA,NA,NA,"2018",43.6,1.58,2.63,27.59493671,6.007604563,"+4"
"Esterberg","Fendt",404,"gr_404","09.08.2018","FE","EB","Extensive","EB-109",270.2804611,9.168183044,3.298571099,10.46926546,NA,NA,NA,NA,"2018",43.7,1.74,3.03,25.11494253,5.742574257,"+4"
"Esterberg","Fendt",405,"gr_405","09.08.2018","FE","EB","Extensive","EB-121",338.8939255,8.537082784,3.436747647,11.09678194,NA,NA,NA,NA,"2018",43.6,1.74,2.98,25.05747126,5.838926174,"+4"
"Esterberg","Fendt",406,"gr_406","09.08.2018","FE","EB","Extensive","EB-215",322.3418114,6.051320616,3.211708494,9.55003726,NA,NA,NA,NA,"2018",44,1.62,2.15,27.16049383,7.534883721,"+4"
"Esterberg","Fendt",407,"gr_407","09.08.2018","FE","EB","Extensive","EB-230",373.2713932,7.983986629,3.13901548,10.18848241,NA,NA,NA,NA,"2018",44,1.65,2.04,26.66666667,8.088235294,"+4"
"Esterberg","Fendt",205,"gr_205","21.09.2017","FE","EB","Intensive","EB-242",318.6494167,9.35878283,3.094854192,15.0734527,NA,NA,NA,NA,"2017",41.7,2.79,3.17,14.94623656,8.80126183,"+4"
"Esterberg","Fendt",206,"gr_206","21.09.2017","FE","EB","Intensive","EB-257",328.693862,11.48649997,3.241060915,18.00109006,12.07,3.1,17.8,17.2,"2017",42.5,4.02,3.24,10.5721393,12.40740741,"+4"
"Esterberg","Fendt",207,"gr_207","21.09.2017","FE","EB","Intensive","EB-39",280.1692883,9.200674358,3.029862997,16.0469931,NA,NA,NA,NA,"2017",42.7,2.77,3.6,15.41516245,7.694444444,"+4"
"Esterberg","Fendt",208,"gr_208","21.09.2017","FE","EB","Intensive","EB-51",268.1442481,10.48703067,3.378596894,16.84362825,NA,NA,NA,NA,"2017",41.8,3.06,3.58,13.66013072,8.547486034,"+4"
"Esterberg","Fendt",494,"gr_494","22.10.2018","FE","EB","Extensive","EB-109",142.3906224,7.322225489,3.930757758,17.91958366,NA,NA,NA,NA,"2018",43.4,3.11,3.06,13.95498392,10.16339869,"+4"
"Esterberg","Fendt",89,"gr_89","08.06.2017","FE","EB","Extensive","EB-21",873.0745029,6.964176301,2.391155272,11.18609368,NA,NA,NA,NA,"2017",41.5,1.52,2.21,27.30263158,6.877828054,"+4"
"Esterberg","Fendt",414,"gr_414","09.08.2018","FE","EB","Intensive","EB-136",234.7712249,7.424509728,3.638813952,10.26056319,NA,NA,NA,NA,"2018",44.3,1.79,2.56,24.74860335,6.9921875,"+4"
"Esterberg","Fendt",294,"gr_294","13.05.2018","FE","EB","Intensive","EB-136",189.2599848,9.192366465,2.244967627,12.97168696,NA,NA,NA,NA,"2018",43.4,2.24,2.19,19.375,10.2283105,"+4"
"Esterberg","Fendt",92,"gr_92","08.06.2017","FE","EB","Extensive","EB-121",625.2172049,8.180126467,1.744134691,9.815948564,7.87,2,10.1,25.8,"2017",43.7,1.61,2.34,27.14285714,6.88034188,"+4"
"Esterberg","Fendt",93,"gr_93","08.06.2017","FE","EB","Extensive","EB-215",716.6640984,7.338745351,1.957894085,10.32131724,NA,NA,NA,NA,"2017",43.4,1.71,1.91,25.38011696,8.952879581,"+4"
